"lats","longs"
49.43832,-122.96198
49.4383,-122.96199
49.43846,-122.96188
49.43864,-122.9619
49.43876,-122.9618
49.43879,-122.96155
49.43887,-122.96142
49.43897,-122.96129
49.43905,-122.96127
49.43899,-122.96098
49.43907,-122.96091
49.43919,-122.96091
49.43932,-122.96061
49.43952,-122.96026
49.43951,-122.96008
49.43972,-122.95974
49.43985,-122.95955
49.43992,-122.95932
49.43999,-122.95903
49.44026,-122.9589
49.44024,-122.95878
49.44005,-122.95866
49.43982,-122.95865
49.43989,-122.9584
49.43995,-122.95824
49.43982,-122.95804
49.43996,-122.95792
49.44008,-122.95787
49.44015,-122.95773
49.4402,-122.95764
49.44027,-122.95767
49.44026,-122.95752
49.44028,-122.95741
49.44024,-122.95732
49.44028,-122.95723
49.44038,-122.9572
49.44031,-122.95703
49.44011,-122.9569
49.44007,-122.95669
49.44001,-122.95669
49.43995,-122.95667
49.43991,-122.95657
49.43988,-122.95653
49.4399,-122.9565
49.43986,-122.95649
49.43981,-122.95648
49.43978,-122.95647
49.43982,-122.95643
49.43981,-122.95639
49.43977,-122.95633
49.43976,-122.95624
49.43978,-122.95618
49.4398,-122.95613
49.43985,-122.95612
49.43989,-122.95613
49.43994,-122.95605
49.44,-122.956
49.44003,-122.9558
49.44002,-122.95567
49.44008,-122.95568
49.44019,-122.95576
49.44025,-122.95568
49.44025,-122.95554
49.44032,-122.9555
49.44032,-122.9553
49.44028,-122.95515
49.44025,-122.95502
49.44033,-122.95477
49.44033,-122.95477
49.4404,-122.95458
49.44062,-122.95449
49.44067,-122.95413
49.44056,-122.95385
49.44021,-122.95359
49.43997,-122.95337
49.4399,-122.95335
49.43985,-122.95326
49.43983,-122.95319
49.43974,-122.95307
49.43972,-122.953
49.43975,-122.95298
49.4398,-122.95289
49.43979,-122.95274
49.43977,-122.95262
49.43978,-122.95248
49.43971,-122.95242
49.43967,-122.95229
49.43962,-122.95214
49.43966,-122.95208
49.43962,-122.95203
49.43952,-122.95206
49.43944,-122.95206
49.4393,-122.95201
49.43919,-122.95184
49.43918,-122.95168
49.43912,-122.95154
49.43903,-122.95149
49.43888,-122.95152
49.43884,-122.95133
49.43858,-122.95119
49.43821,-122.95071
49.43807,-122.95026
49.43779,-122.94988
49.43738,-122.94957
49.43702,-122.94942
49.43659,-122.94936
49.43612,-122.94924
49.43582,-122.94883
49.43565,-122.94859
49.43595,-122.94841
49.4359,-122.94795
49.43555,-122.94778
49.43509,-122.94763
49.43488,-122.94742
49.4348,-122.94719
49.43464,-122.94709
49.43456,-122.94685
49.43469,-122.94677
49.43487,-122.94669
49.43499,-122.94681
49.4351,-122.94675
49.43523,-122.94657
49.43521,-122.94622
49.4352,-122.9459
49.43506,-122.9455
49.43501,-122.94515
49.43501,-122.94504
49.43514,-122.94491
49.43517,-122.94475
49.4352,-122.94446
49.43522,-122.94433
49.43521,-122.94425
49.43519,-122.94396
49.43523,-122.94379
49.43526,-122.94367
49.43534,-122.9434
49.43527,-122.94288
49.43511,-122.94222
49.4349,-122.94168
49.43484,-122.94144
49.43483,-122.94144
49.43472,-122.94103
49.43432,-122.94062
49.43413,-122.94023
49.4344,-122.93969
49.43476,-122.93944
49.43499,-122.93902
49.43491,-122.93814
49.43482,-122.93766
49.43467,-122.93736
49.43482,-122.93711
49.43462,-122.93643
49.43462,-122.936
49.43458,-122.93585
49.43446,-122.93567
49.43446,-122.93551
49.43441,-122.93528
49.43442,-122.93504
49.43446,-122.93501
49.43456,-122.93482
49.43467,-122.93479
49.43469,-122.93469
49.43459,-122.93451
49.43452,-122.93441
49.43436,-122.93434
49.43422,-122.93424
49.43409,-122.93414
49.43395,-122.93405
49.43393,-122.93395
49.43403,-122.93383
49.43403,-122.93368
49.43397,-122.93353
49.43387,-122.93339
49.43375,-122.93322
49.43365,-122.93296
49.43365,-122.93296
49.43348,-122.93276
49.43339,-122.93236
49.43328,-122.93203
49.43326,-122.93184
49.43313,-122.93171
49.43319,-122.93152
49.43307,-122.93127
49.43289,-122.93113
49.43276,-122.93107
49.43286,-122.93092
49.43301,-122.93068
49.43297,-122.93049
49.43291,-122.93025
49.43278,-122.9302
49.43275,-122.92991
49.43268,-122.92968
49.4326,-122.92957
49.43265,-122.92943
49.43266,-122.92927
49.43263,-122.92916
49.43253,-122.92913
49.43248,-122.92912
49.4323,-122.92909
49.43214,-122.92886
49.43214,-122.92886
49.4321,-122.92881
49.43201,-122.92865
49.43191,-122.92853
49.43183,-122.92849
49.4317,-122.92834
49.43161,-122.92825
49.43139,-122.92831
49.43135,-122.92834
49.43135,-122.92833
49.43125,-122.92827
49.43121,-122.92823
49.43115,-122.92819
49.4311,-122.92817
49.43106,-122.92812
49.43102,-122.92807
49.43097,-122.92804
49.43091,-122.92802
49.43086,-122.92802
49.43076,-122.92802
49.43071,-122.92802
49.43065,-122.92804
49.4306,-122.92805
49.43055,-122.92805
49.4305,-122.92805
49.43049,-122.92805
49.43049,-122.92805
49.43045,-122.928
49.43045,-122.9279
49.43045,-122.92781
49.43044,-122.92772
49.43039,-122.92742
49.43039,-122.92734
49.43039,-122.92727
49.43037,-122.9272
49.43034,-122.92714
49.4303,-122.92711
49.43025,-122.92709
49.43024,-122.92709
49.43025,-122.92709
49.4303,-122.92711
49.43034,-122.92714
49.43037,-122.9272
49.43039,-122.92727
49.43039,-122.92734
49.43039,-122.92742
49.43044,-122.92772
49.43045,-122.92781
49.43045,-122.9279
49.43045,-122.928
49.43049,-122.92805
49.43049,-122.92805
49.4305,-122.92805
49.43055,-122.92805
49.4306,-122.92805
49.43065,-122.92804
49.43071,-122.92802
49.43076,-122.92802
49.43086,-122.92802
49.43091,-122.92802
49.43097,-122.92804
49.43102,-122.92807
49.43106,-122.92812
49.4311,-122.92817
49.43115,-122.92819
49.43121,-122.92823
49.43125,-122.92827
49.43135,-122.92833
49.43135,-122.92834
49.43139,-122.92831
49.43161,-122.92825
49.4317,-122.92834
49.43183,-122.92849
49.43191,-122.92853
49.43201,-122.92865
49.4321,-122.92881
49.43214,-122.92886
49.43214,-122.92886
49.4323,-122.92909
49.43248,-122.92912
49.43253,-122.92913
49.43263,-122.92916
49.43266,-122.92927
49.43265,-122.92943
49.4326,-122.92957
49.43268,-122.92968
49.43275,-122.92991
49.43278,-122.9302
49.43291,-122.93025
49.43297,-122.93049
49.43301,-122.93068
49.43286,-122.93092
49.43276,-122.93107
49.43289,-122.93113
49.43307,-122.93127
49.43319,-122.93152
49.43313,-122.93171
49.43326,-122.93184
49.43328,-122.93203
49.43339,-122.93236
49.43348,-122.93276
49.43365,-122.93296
49.43365,-122.93296
49.43375,-122.93322
49.43387,-122.93339
49.43397,-122.93353
49.43403,-122.93368
49.43403,-122.93383
49.43393,-122.93395
49.43395,-122.93405
49.43409,-122.93414
49.43422,-122.93424
49.43436,-122.93434
49.43452,-122.93441
49.43459,-122.93451
49.43469,-122.93469
49.43467,-122.93479
49.43456,-122.93482
49.43446,-122.93501
49.43442,-122.93504
49.43441,-122.93528
49.43446,-122.93551
49.43446,-122.93567
49.43458,-122.93585
49.43462,-122.936
49.43462,-122.93643
49.43482,-122.93711
49.43467,-122.93736
49.43482,-122.93766
49.43491,-122.93814
49.43499,-122.93902
49.43476,-122.93944
49.4344,-122.93969
49.43413,-122.94023
49.43432,-122.94062
49.43472,-122.94103
49.43483,-122.94144
49.43484,-122.94144
49.4349,-122.94168
49.43511,-122.94222
49.43527,-122.94288
49.43534,-122.9434
49.43526,-122.94367
49.43523,-122.94379
49.43519,-122.94396
49.43521,-122.94425
49.43522,-122.94433
49.4352,-122.94446
49.43517,-122.94475
49.43514,-122.94491
49.43501,-122.94504
49.43501,-122.94515
49.43506,-122.9455
49.4352,-122.9459
49.43521,-122.94622
49.43523,-122.94657
49.4351,-122.94675
49.43499,-122.94681
49.43487,-122.94669
49.43469,-122.94677
49.43456,-122.94685
49.43464,-122.94709
49.4348,-122.94719
49.43488,-122.94742
