"lats","longs"
49.33802,-122.85629
49.33817,-122.85628
49.33819,-122.8563
49.33823,-122.85634
49.33826,-122.85639
49.33829,-122.85645
49.33832,-122.85651
49.33831,-122.8565
49.33833,-122.85654
49.33835,-122.85662
49.33837,-122.85669
49.33839,-122.85676
49.33841,-122.85683
49.33844,-122.85689
49.33846,-122.85696
49.33848,-122.85702
49.33852,-122.85707
49.33856,-122.85712
49.3386,-122.85717
49.33865,-122.85722
49.3387,-122.85728
49.33874,-122.85731
49.3388,-122.85732
49.33886,-122.85736
49.33892,-122.85739
49.33899,-122.8574
49.33905,-122.85739
49.3391,-122.85736
49.33916,-122.85732
49.33919,-122.85726
49.33923,-122.85721
49.33925,-122.85714
49.33925,-122.85714
49.33927,-122.8571
49.33927,-122.85705
49.33927,-122.857
49.33928,-122.85696
49.33929,-122.8569
49.3393,-122.85685
49.33931,-122.85681
49.33932,-122.85676
49.33933,-122.85672
49.33933,-122.85667
49.33935,-122.85662
49.33936,-122.85658
49.33938,-122.85654
49.3394,-122.85651
49.33941,-122.85647
49.33943,-122.85643
49.33945,-122.85639
49.33946,-122.85635
49.33947,-122.85631
49.3395,-122.85626
49.33951,-122.85622
49.33953,-122.85617
49.33955,-122.85612
49.33956,-122.85608
49.33958,-122.85604
49.33959,-122.85599
49.33961,-122.85594
49.33963,-122.8559
49.33964,-122.85586
49.33965,-122.85581
49.33963,-122.85576
49.33962,-122.85569
49.33959,-122.85563
49.3396,-122.85554
49.33961,-122.85563
49.33959,-122.85554
49.33956,-122.85546
49.33957,-122.85536
49.33959,-122.85528
49.33962,-122.85523
49.33964,-122.85519
49.33967,-122.85516
49.3397,-122.85513
49.33973,-122.8551
49.33976,-122.85508
49.33978,-122.85505
49.33982,-122.85504
49.33985,-122.85506
49.33988,-122.85507
49.33991,-122.85507
49.33994,-122.85508
49.33998,-122.85509
49.34001,-122.85511
49.34005,-122.8551
49.34009,-122.85508
49.34011,-122.85506
49.34013,-122.855
49.34013,-122.85495
49.34014,-122.8549
49.34016,-122.85485
49.34018,-122.85482
49.3402,-122.85479
49.34021,-122.85473
49.34021,-122.85468
49.34023,-122.85465
49.34027,-122.85467
49.34029,-122.8547
49.34033,-122.85472
49.34036,-122.85473
49.34039,-122.85473
49.34043,-122.85471
49.34045,-122.85469
49.34047,-122.85464
49.34048,-122.85458
49.3405,-122.85454
49.34053,-122.85451
49.34057,-122.85451
49.3406,-122.85452
49.34064,-122.85453
49.34068,-122.85452
49.34072,-122.85452
49.34076,-122.85446
49.34077,-122.85437
49.34081,-122.8543
49.34087,-122.85427
49.34093,-122.85422
49.341,-122.85419
49.34105,-122.85416
49.34112,-122.85414
49.34118,-122.85417
49.34124,-122.85422
49.34131,-122.85424
49.34138,-122.85427
49.34145,-122.8543
49.34151,-122.85425
49.34157,-122.85423
49.34164,-122.8542
49.34171,-122.85423
49.34178,-122.85427
49.34184,-122.85429
49.3419,-122.85432
49.34196,-122.85435
49.34203,-122.85434
49.3421,-122.85433
49.34216,-122.85436
49.34221,-122.85439
49.34227,-122.85441
49.34233,-122.85441
49.34239,-122.85441
49.34245,-122.85437
49.3425,-122.85431
49.34255,-122.85425
