"lats","longs"
49.35901,-123.10728
49.35901,-123.10728
49.35888,-123.1075
49.35888,-123.1075
49.35888,-123.1075
49.35889,-123.10752
49.35896,-123.10767
49.359,-123.10775
49.35913,-123.10799
49.35955,-123.10886
49.35975,-123.10933
49.35983,-123.1095
49.35996,-123.1098
49.35996,-123.1098
49.35996,-123.1098
49.36,-123.10992
49.3602,-123.11049
49.3603,-123.1109
49.36038,-123.11127
49.36045,-123.11169
49.36046,-123.11193
49.36046,-123.11204
49.36043,-123.11214
49.36033,-123.11229
49.36033,-123.11229
49.36033,-123.11229
49.3598,-123.11231
49.35969,-123.11235
49.35945,-123.11249
49.35913,-123.11267
49.35896,-123.1127
49.35896,-123.1127
49.35896,-123.1127
49.35885,-123.11273
49.35853,-123.11261
49.3583,-123.11271
49.35785,-123.11282
49.35725,-123.11308
49.3572,-123.11311
49.3572,-123.11311
49.3572,-123.11311
49.35695,-123.11325
49.35687,-123.11336
49.35674,-123.11348
49.35663,-123.11355
49.35654,-123.11361
49.35635,-123.11384
49.35625,-123.11394
49.35619,-123.11393
49.35599,-123.1141
49.35585,-123.11445
49.35575,-123.11458
49.35575,-123.11458
49.35575,-123.11458
49.35562,-123.11473
49.35552,-123.11496
49.35554,-123.11518
49.35549,-123.11535
49.35545,-123.11542
49.35535,-123.11561
49.35527,-123.11579
49.35526,-123.11591
49.35527,-123.11616
49.35523,-123.11631
49.3553,-123.11638
49.35535,-123.11639
49.35535,-123.11639
49.35535,-123.11638
49.35543,-123.11639
49.35552,-123.11646
49.35553,-123.11666
49.35563,-123.11677
49.35565,-123.11694
49.35574,-123.11706
49.35577,-123.1173
49.35576,-123.11744
49.35564,-123.11755
49.35547,-123.11755
49.35537,-123.11751
49.35536,-123.11751
49.35536,-123.11751
49.35536,-123.11751
49.35526,-123.11743
49.35508,-123.11727
49.3548,-123.1172
49.35456,-123.1172
49.35419,-123.1174
49.35366,-123.1179
49.35342,-123.11795
49.35317,-123.11786
49.3528,-123.11767
49.35248,-123.11758
49.3524,-123.11757
49.3524,-123.11757
49.3524,-123.11757
49.3523,-123.11756
49.35215,-123.11755
49.35187,-123.11753
49.35154,-123.1176
49.35117,-123.11781
49.35099,-123.11787
49.35082,-123.11789
49.3506,-123.11772
49.35042,-123.11762
49.35022,-123.11764
49.34986,-123.11752
49.34907,-123.11744
49.34873,-123.11727
49.34873,-123.11727
49.34873,-123.11727
49.34865,-123.11724
49.3482,-123.11729
49.34785,-123.1174
49.34753,-123.11735
49.34721,-123.11713
49.34721,-123.11713
49.34721,-123.11713
49.34707,-123.11682
49.34691,-123.11656
49.3467,-123.11623
49.34624,-123.11591
49.34594,-123.1158
49.34565,-123.11581
49.34545,-123.11594
49.34545,-123.11594
49.34545,-123.11593
49.34538,-123.11598
49.34504,-123.11619
49.34452,-123.11646
49.34423,-123.1165
49.344,-123.11669
49.34391,-123.11678
49.34401,-123.11686
49.34406,-123.11698
49.34406,-123.11706
49.34406,-123.11706
49.34406,-123.11706
49.34416,-123.11708
49.34538,-123.11743
49.34538,-123.11743
49.34538,-123.11743
49.34585,-123.11756
49.34639,-123.11773
49.34664,-123.11774
49.34698,-123.11778
49.34702,-123.11786
49.34702,-123.11786
49.34702,-123.11786
49.34718,-123.11764
49.34721,-123.11713
49.34753,-123.11735
49.34785,-123.1174
49.3482,-123.11729
49.34824,-123.11729
49.34824,-123.11729
49.3482,-123.11729
49.34865,-123.11724
49.34907,-123.11744
49.34986,-123.11752
49.35022,-123.11764
49.35042,-123.11762
49.3506,-123.11772
49.35082,-123.11789
49.35099,-123.11787
49.35117,-123.11781
49.35154,-123.1176
49.35187,-123.11753
49.35215,-123.11755
49.3523,-123.11756
49.35248,-123.11758
49.35269,-123.11764
49.35269,-123.11764
49.35269,-123.11764
49.3528,-123.11767
49.35317,-123.11786
49.35342,-123.11795
49.35366,-123.1179
49.35419,-123.1174
49.35456,-123.1172
49.3548,-123.1172
49.35508,-123.11727
49.35526,-123.11743
49.35537,-123.11751
49.35547,-123.11755
49.35551,-123.11755
49.35551,-123.11755
49.35547,-123.11755
49.35564,-123.11755
49.35576,-123.11744
49.35577,-123.1173
49.35574,-123.11706
49.35565,-123.11694
49.35563,-123.11677
49.35553,-123.11666
49.35552,-123.11646
49.35543,-123.11639
49.3553,-123.11638
49.35523,-123.11631
49.35527,-123.11616
49.35526,-123.11594
49.35526,-123.11594
49.35526,-123.11594
49.35526,-123.11591
49.35527,-123.11579
49.35535,-123.11561
49.35545,-123.11542
49.35542,-123.11529
49.35537,-123.11527
49.35532,-123.1152
49.35528,-123.11514
49.35527,-123.11517
49.35522,-123.11514
49.35519,-123.11515
49.35507,-123.11514
49.35501,-123.11503
49.35502,-123.11498
49.35506,-123.11492
49.35506,-123.11487
49.35502,-123.11479
49.35495,-123.11468
49.35486,-123.11462
49.35485,-123.1146
