"lats","longs"
49.37934,-123.08306
49.37943,-123.08241
49.37951,-123.08226
49.37956,-123.08219
49.37962,-123.08206
49.37965,-123.0819
49.37967,-123.08184
49.37969,-123.08182
49.37989,-123.08186
49.37995,-123.08183
49.38007,-123.08178
49.38007,-123.08178
49.38007,-123.08178
49.38027,-123.08164
49.38041,-123.08151
49.38051,-123.08134
49.38063,-123.08108
49.38067,-123.08098
49.38075,-123.08079
49.38077,-123.08068
49.38082,-123.08046
49.38089,-123.08031
49.38091,-123.08026
49.38095,-123.0801
49.38097,-123.08002
49.38097,-123.08002
49.38097,-123.08002
49.38099,-123.07993
49.38102,-123.07983
49.38104,-123.07976
49.38112,-123.07941
49.38118,-123.07914
49.38121,-123.079
49.38121,-123.079
49.38121,-123.079
49.38143,-123.0788
49.38153,-123.07871
49.38169,-123.07855
49.38189,-123.07853
49.38199,-123.07855
49.38211,-123.07854
49.38229,-123.07847
49.38246,-123.07835
49.38305,-123.07814
49.38363,-123.07843
49.38392,-123.07852
49.38421,-123.07879
49.3849,-123.0788
49.38548,-123.07912
49.38615,-123.07884
49.38645,-123.07849
49.38657,-123.0783
49.38686,-123.07809
49.38726,-123.07801
49.38751,-123.07795
49.38751,-123.07795
49.38751,-123.07795
49.38755,-123.07794
49.38781,-123.07781
49.38821,-123.0776
49.38857,-123.07763
49.38888,-123.07773
49.389,-123.07796
49.38914,-123.07834
49.38918,-123.07881
49.38924,-123.07895
49.38945,-123.07884
49.38977,-123.07852
49.39001,-123.07884
49.39002,-123.07885
49.38999,-123.07925
49.38993,-123.07946
49.3898,-123.07963
49.38973,-123.07975
49.38975,-123.0799
49.38989,-123.0798
49.38989,-123.0798
49.38989,-123.07979
49.38993,-123.07976
49.39,-123.07985
49.39024,-123.07963
49.39044,-123.0793
49.39053,-123.07946
49.39059,-123.07962
49.39082,-123.07964
49.39139,-123.07943
49.39185,-123.07946
49.39233,-123.07927
49.39281,-123.07907
49.39322,-123.07929
49.39382,-123.07931
49.39397,-123.07944
49.3946,-123.0795
49.39487,-123.07958
49.39494,-123.0796
49.39514,-123.07966
49.39526,-123.07977
49.39554,-123.07992
49.39637,-123.08038
49.3966,-123.08096
49.39661,-123.08138
49.39709,-123.08172
49.39713,-123.08172
49.39748,-123.08155
49.39767,-123.08157
49.39767,-123.08157
49.39767,-123.08157
49.39782,-123.08158
