"lats","longs"
49.37146,-123.09862
49.37146,-123.09862
49.37141,-123.0986
49.37138,-123.09855
49.37134,-123.09851
49.37129,-123.0985
49.37125,-123.09849
49.37121,-123.09845
49.37118,-123.0984
49.37115,-123.09834
49.37112,-123.09828
49.3711,-123.09822
49.37111,-123.09816
49.37115,-123.09812
49.37119,-123.09808
49.37123,-123.09805
49.37127,-123.09802
49.37131,-123.09798
49.37132,-123.09797
49.37132,-123.09797
49.37135,-123.09792
49.37135,-123.09785
49.37136,-123.09775
49.37136,-123.09768
49.37135,-123.09761
49.37134,-123.09754
49.37132,-123.09747
49.37132,-123.09739
49.37136,-123.09735
49.37139,-123.09729
49.37141,-123.09723
49.37142,-123.09716
49.37143,-123.09709
49.37142,-123.09702
49.3714,-123.09694
49.3714,-123.09687
49.37136,-123.09681
49.37132,-123.09677
49.37128,-123.09673
49.37124,-123.09669
49.37122,-123.09662
49.37121,-123.09656
49.37118,-123.09649
49.37117,-123.09643
49.37117,-123.09642
49.37114,-123.09636
49.3711,-123.09632
49.37106,-123.09629
49.37101,-123.09628
49.37097,-123.09626
49.37094,-123.0962
49.37093,-123.09612
49.37092,-123.09605
49.37092,-123.09598
49.37091,-123.09591
49.3709,-123.09584
49.37089,-123.09577
49.37089,-123.0957
49.37088,-123.09563
49.37085,-123.09557
49.37082,-123.09551
49.37079,-123.09545
49.37078,-123.09539
49.37076,-123.09531
49.37075,-123.09525
49.37078,-123.09518
49.37082,-123.09517
49.37087,-123.09515
49.37091,-123.09513
49.37093,-123.09513
49.37095,-123.09512
49.37099,-123.09509
49.37103,-123.09505
49.37106,-123.09499
49.37107,-123.09493
49.37109,-123.09486
49.37111,-123.09479
49.37114,-123.09474
49.37119,-123.09472
49.37123,-123.09472
49.37128,-123.09472
49.37132,-123.09468
49.37134,-123.09461
49.37134,-123.09454
49.37135,-123.09446
49.37136,-123.09439
49.37136,-123.09435
49.37136,-123.09434
49.37138,-123.09427
49.37139,-123.0942
49.3714,-123.09413
49.37142,-123.09406
49.37144,-123.09399
49.37147,-123.09394
49.37151,-123.0939
49.37155,-123.09387
49.3716,-123.09387
49.37164,-123.09385
49.37169,-123.09384
49.37173,-123.0938
49.37176,-123.09374
49.37179,-123.09368
49.37181,-123.09362
49.37185,-123.09357
49.37189,-123.09354
49.37193,-123.09352
49.37198,-123.09352
49.37203,-123.09351
49.37208,-123.0935
49.37212,-123.09348
49.37216,-123.09342
49.37218,-123.09336
49.37219,-123.09329
49.3722,-123.09321
49.37222,-123.09315
49.37223,-123.09308
49.37226,-123.09302
49.37228,-123.09297
49.37229,-123.09296
49.37231,-123.0929
49.37233,-123.09283
49.37235,-123.09276
49.37237,-123.0927
49.37238,-123.09262
49.37237,-123.09255
49.37235,-123.09248
49.37234,-123.09241
49.37235,-123.09234
49.37238,-123.09227
49.37242,-123.09224
49.37246,-123.0922
49.37248,-123.09214
49.37249,-123.09207
49.37249,-123.092
49.3725,-123.09193
49.37251,-123.09186
49.37252,-123.09178
49.37253,-123.09171
49.37254,-123.09164
49.37257,-123.09158
49.37261,-123.09154
49.37265,-123.09153
49.3727,-123.09155
49.37275,-123.09157
49.37279,-123.09158
49.37284,-123.09159
49.37289,-123.09159
49.37293,-123.09157
49.37293,-123.09157
49.37295,-123.09156
49.37299,-123.09152
49.37303,-123.0915
49.37307,-123.09146
49.37311,-123.09142
49.37314,-123.09136
49.37315,-123.09129
49.37318,-123.09123
49.37322,-123.09119
49.37326,-123.09119
49.37331,-123.09117
49.37335,-123.09114
49.37339,-123.09111
49.37343,-123.09109
49.37348,-123.09106
49.37352,-123.09102
49.37356,-123.091
49.37361,-123.09098
