"lats","longs"
49.34208,-123.01983
49.34225,-123.01962
49.34236,-123.01954
49.34249,-123.01951
49.34264,-123.01951
49.34283,-123.01962
49.34309,-123.01953
49.34325,-123.01895
49.34374,-123.01834
49.34385,-123.01809
49.34397,-123.01783
49.34398,-123.0178
49.34407,-123.01771
49.34412,-123.01769
49.34415,-123.01789
49.34426,-123.01808
49.3444,-123.01849
49.34447,-123.01854
49.34453,-123.01861
49.34455,-123.01866
49.34476,-123.01871
49.34498,-123.01896
49.34501,-123.019
49.34509,-123.01909
49.34529,-123.0193
49.34569,-123.01932
49.34596,-123.01946
49.34654,-123.01943
49.34667,-123.01963
49.34676,-123.01967
49.34695,-123.01994
49.34707,-123.02014
49.34718,-123.0201
49.34726,-123.02014
49.34733,-123.02002
49.34743,-123.02004
49.34758,-123.01989
49.34766,-123.0197
49.34778,-123.01964
49.34795,-123.01961
49.34819,-123.01958
49.3484,-123.01963
49.34848,-123.01975
49.34861,-123.01986
49.34876,-123.01987
49.34918,-123.01967
49.34931,-123.01966
49.34937,-123.01964
49.34965,-123.01971
49.34972,-123.02007
49.34979,-123.02065
49.34999,-123.02061
49.34996,-123.02061
49.35058,-123.02056
49.35104,-123.02063
49.35145,-123.02072
49.3516,-123.02089
49.35176,-123.02094
49.35206,-123.02123
49.35259,-123.02137
49.35262,-123.02129
49.35286,-123.02153
49.35304,-123.0216
49.35319,-123.02156
49.35329,-123.02176
49.35359,-123.02232
49.35375,-123.0224
49.354,-123.02267
49.35409,-123.02272
49.35444,-123.02297
49.35449,-123.02318
49.35499,-123.02352
49.35512,-123.02373
49.35531,-123.02368
49.35572,-123.02417
49.35582,-123.02422
49.35597,-123.0245
49.35612,-123.02467
49.35627,-123.02495
49.35637,-123.02503
49.35671,-123.0252
49.35733,-123.02593
49.35741,-123.02611
49.35767,-123.02622
49.3578,-123.02625
49.35787,-123.0263
49.35808,-123.02635
49.35835,-123.02647
49.3584,-123.02641
49.35858,-123.02653
49.35874,-123.02702
49.35916,-123.02735
49.35926,-123.02735
49.35936,-123.02765
49.35968,-123.02785
49.35973,-123.0279
49.35981,-123.02791
49.36004,-123.02792
49.36014,-123.02794
49.36024,-123.02796
49.36039,-123.02801
49.36054,-123.02812
49.36064,-123.02816
49.36074,-123.02818
49.36082,-123.02823
49.36088,-123.02826
49.36109,-123.02826
49.36128,-123.02822
49.36139,-123.02823
49.36163,-123.02826
49.36178,-123.02837
49.36227,-123.0289
49.36282,-123.02941
49.36335,-123.02996
49.36361,-123.03011
49.36393,-123.03034
49.36427,-123.03101
49.36459,-123.03145
49.36507,-123.03193
49.36558,-123.03225
49.36598,-123.03244
49.36608,-123.03245
49.36627,-123.03248
49.36642,-123.03248
49.36673,-123.03256
49.36699,-123.03259
49.36722,-123.03271
49.36759,-123.03307
49.36783,-123.03352
49.36823,-123.03389
49.36855,-123.03413
49.36903,-123.03431
49.36983,-123.03469
49.3704,-123.03481
49.37079,-123.03492
49.37113,-123.0349
49.37198,-123.0351
49.37306,-123.03499
49.37366,-123.0352
49.37375,-123.03534
49.37414,-123.03563
49.3744,-123.03589
49.37446,-123.03594
49.37467,-123.03596
49.3749,-123.036
49.37518,-123.03612
49.3753,-123.0361
49.37543,-123.03618
49.37557,-123.03625
49.37571,-123.0363
49.37584,-123.03635
49.37599,-123.03633
49.37605,-123.03633
49.3762,-123.03629
49.37635,-123.03607
49.37664,-123.0358
49.37719,-123.03565
49.37734,-123.03571
49.37738,-123.0357
49.37744,-123.03568
49.37773,-123.03554
49.37795,-123.03549
49.3783,-123.03568
49.3785,-123.03561
49.3786,-123.03563
49.37865,-123.03562
49.37876,-123.03569
49.37909,-123.03573
49.3792,-123.03571
49.37953,-123.03567
49.37963,-123.03566
49.37987,-123.03566
49.38018,-123.03569
49.38036,-123.03566
49.38051,-123.03573
49.38058,-123.03575
49.3807,-123.03579
49.38079,-123.03573
49.38089,-123.03563
49.38106,-123.03551
49.38113,-123.03552
49.38122,-123.03547
49.38141,-123.03545
49.38169,-123.03549
49.38182,-123.03548
49.38229,-123.03554
49.38235,-123.03553
49.38243,-123.03557
49.38253,-123.03557
49.38267,-123.0356
49.38285,-123.03558
49.38298,-123.03569
49.38304,-123.03576
49.38335,-123.03577
49.38355,-123.03581
49.38368,-123.03593
49.38377,-123.03597
49.3839,-123.03616
49.38416,-123.03627
49.38422,-123.03644
49.38432,-123.03659
49.38443,-123.03662
49.38462,-123.03665
49.38467,-123.03668
49.38473,-123.03671
49.38478,-123.03671
49.38484,-123.03666
49.3849,-123.03665
49.38498,-123.03667
49.3851,-123.03666
49.38543,-123.0367
49.38567,-123.03662
49.38577,-123.03658
49.38614,-123.03658
49.3863,-123.03654
49.38641,-123.03654
49.38646,-123.03649
49.38665,-123.03642
49.38673,-123.03632
49.38678,-123.03627
49.38682,-123.03618
49.38685,-123.03613
49.38693,-123.03604
49.38705,-123.03597
49.38711,-123.03587
49.38743,-123.0358
49.38756,-123.03566
49.38768,-123.03558
49.38774,-123.03532
49.38803,-123.03528
49.38817,-123.03519
49.38829,-123.0352
49.38864,-123.03518
49.38872,-123.03522
49.38883,-123.03518
49.389,-123.03518
49.38912,-123.03513
49.3893,-123.03509
49.38938,-123.03503
49.38947,-123.03501
49.38965,-123.03498
49.38997,-123.03489
49.39015,-123.0347
49.39027,-123.03463
49.39031,-123.03457
49.39035,-123.03449
49.3906,-123.03441
49.39074,-123.03443
49.39089,-123.03451
49.39119,-123.03452
49.39135,-123.0345
49.3915,-123.03442
49.39176,-123.03434
49.39184,-123.03432
49.39211,-123.03441
49.39233,-123.03452
49.39245,-123.0345
49.39256,-123.03453
49.39269,-123.03426
49.39277,-123.03374
49.39339,-123.0335
49.3944,-123.03346
49.39526,-123.03298
49.39633,-123.03232
49.39698,-123.03186
49.39736,-123.03119
49.3977,-123.03088
49.39915,-123.03021
49.40025,-123.0298
49.4014,-123.02904
49.40255,-123.02842
49.40347,-123.02842
49.40395,-123.02935
49.40444,-123.02971
49.40549,-123.02958
49.40677,-123.02862
49.40746,-123.02873
49.40822,-123.02988
49.41013,-123.02992
49.41145,-123.02978
49.41308,-123.03047
49.41337,-123.03072
49.41357,-123.03184
49.41375,-123.03288
49.41383,-123.03338
49.41431,-123.03243
49.41476,-123.03144
49.41503,-123.031
49.41527,-123.03089
49.41508,-123.03095
49.41483,-123.03138
49.41443,-123.03237
49.41394,-123.03339
49.4145,-123.03455
49.41509,-123.03628
49.41529,-123.03797
49.41581,-123.03957
49.41731,-123.04082
49.41882,-123.04229
49.41916,-123.04243
49.41922,-123.04301
49.41899,-123.0433
49.41903,-123.04369
49.41922,-123.04387
49.41954,-123.04409
49.4196,-123.04472
49.41928,-123.04635
49.41925,-123.04749
49.41901,-123.04925
49.41889,-123.05142
49.4189,-123.05269
49.41858,-123.05442
49.41833,-123.05603
49.41803,-123.05708
49.41796,-123.05785
49.41747,-123.05901
49.41718,-123.06046
49.41708,-123.06152
49.41684,-123.06215
49.417,-123.06336
49.41598,-123.06681
49.41537,-123.06778
49.41493,-123.06893
49.41404,-123.07083
49.41329,-123.07132
49.41256,-123.07208
49.4125,-123.07378
49.41174,-123.07625
49.41033,-123.07742
