"lats","longs"
49.35868,-123.03503
49.35876,-123.03554
49.35953,-123.03551
49.36009,-123.03556
49.36036,-123.03571
49.36095,-123.03638
49.36101,-123.03648
49.36121,-123.03688
49.36139,-123.03726
49.36147,-123.03746
49.36155,-123.03756
49.36163,-123.03765
49.3618,-123.03784
49.36186,-123.03791
49.3619,-123.03798
49.36199,-123.03813
49.36207,-123.03829
49.36216,-123.03846
49.36226,-123.03871
49.36232,-123.03887
49.36242,-123.03906
49.36245,-123.0391
49.36249,-123.03913
49.36258,-123.03911
49.36266,-123.03907
49.36276,-123.03906
49.36282,-123.03906
49.36282,-123.03906
49.36289,-123.03905
49.36289,-123.03905
49.36292,-123.03905
49.36299,-123.03907
49.36308,-123.03909
49.36317,-123.03913
49.36326,-123.03918
49.36343,-123.03928
49.36353,-123.03936
49.36357,-123.03941
49.3636,-123.03947
49.36362,-123.03955
49.36364,-123.03962
49.36366,-123.03971
49.36369,-123.03978
49.3637,-123.03979
49.36373,-123.03984
49.36374,-123.03986
49.36377,-123.0399
49.36382,-123.03993
49.36389,-123.03996
49.36396,-123.03998
49.36403,-123.04
49.36409,-123.04
49.36417,-123.04003
49.36428,-123.04006
49.36438,-123.04007
49.36449,-123.04009
49.36462,-123.0401
49.36474,-123.04012
49.36485,-123.04015
49.36497,-123.04016
49.36507,-123.04018
49.36522,-123.04018
49.3654,-123.04021
49.36562,-123.04023
49.36575,-123.04027
49.36585,-123.04028
49.36597,-123.0403
49.36612,-123.04035
49.36624,-123.04035
49.36632,-123.0404
49.36638,-123.04044
49.36644,-123.04051
49.36648,-123.0406
49.36651,-123.04069
49.36653,-123.04073
49.36656,-123.04076
49.3666,-123.04075
49.36663,-123.04072
49.36667,-123.04064
49.36676,-123.04049
49.36688,-123.04033
49.367,-123.04017
49.36707,-123.04007
49.36714,-123.03994
49.36718,-123.03988
49.36721,-123.03985
49.36724,-123.03984
49.36726,-123.03983
49.36734,-123.03983
49.36743,-123.03983
49.36748,-123.03985
49.36758,-123.03993
49.36766,-123.04002
49.36772,-123.04009
49.36776,-123.04016
49.36779,-123.04024
49.36782,-123.04029
49.36786,-123.04034
49.36792,-123.04038
49.36798,-123.04041
49.36804,-123.04041
49.36814,-123.0404
49.36823,-123.0404
49.36829,-123.04041
49.36835,-123.04041
49.3684,-123.04042
49.36845,-123.04044
49.36852,-123.0405
49.36862,-123.04057
49.36876,-123.04067
49.36882,-123.0407
49.3689,-123.04077
49.36895,-123.04078
49.36901,-123.04079
49.36906,-123.04081
49.36916,-123.04091
49.36924,-123.04096
49.36931,-123.04101
49.36936,-123.04105
49.3694,-123.04109
49.36943,-123.04116
49.36945,-123.04125
49.36948,-123.0413
49.36958,-123.04132
49.36962,-123.04131
49.36962,-123.04131
49.36967,-123.04128
49.36968,-123.04125
49.36972,-123.04124
49.36977,-123.04124
49.36986,-123.04125
49.37,-123.04129
49.37022,-123.04136
49.37048,-123.04147
49.37053,-123.0415
49.3708,-123.04163
49.37094,-123.04169
49.37106,-123.04171
49.3712,-123.04172
49.37133,-123.04172
49.37142,-123.04169
49.3715,-123.04164
49.37154,-123.04156
49.37155,-123.04147
49.37159,-123.04139
49.37162,-123.04129
49.37167,-123.04118
49.3717,-123.04112
49.37172,-123.04111
49.37174,-123.04111
49.3718,-123.04112
49.37185,-123.04116
49.37192,-123.04124
49.37198,-123.04132
49.37202,-123.04136
49.37205,-123.04136
49.37209,-123.04137
49.37216,-123.04138
49.37224,-123.04138
49.37233,-123.04137
49.3724,-123.04137
49.37243,-123.04136
49.37246,-123.04134
49.37248,-123.04127
49.37251,-123.04125
49.3726,-123.04123
49.37278,-123.0412
49.3731,-123.04121
49.37339,-123.04119
49.37367,-123.04117
49.37397,-123.04118
49.37429,-123.04121
49.37464,-123.04118
49.37479,-123.04118
49.37499,-123.04115
49.37505,-123.04116
49.3751,-123.04118
49.37513,-123.04122
49.37516,-123.04129
49.37518,-123.04136
49.3752,-123.04139
49.37523,-123.04141
49.37527,-123.04142
49.37532,-123.0414
49.37537,-123.04141
49.37541,-123.04145
49.37543,-123.04151
49.37546,-123.04157
49.37548,-123.04166
49.37551,-123.04171
49.37553,-123.04175
49.37555,-123.04177
49.37558,-123.04178
49.37562,-123.04176
49.37564,-123.04173
49.37565,-123.04171
49.37566,-123.04167
49.37565,-123.04163
49.37564,-123.04158
49.37565,-123.04154
49.37567,-123.04148
49.37568,-123.04147
49.37571,-123.04148
49.37577,-123.04152
49.37587,-123.04157
49.37601,-123.04162
49.37615,-123.0417
49.37625,-123.04174
49.3764,-123.04184
49.37647,-123.04193
49.37661,-123.04207
49.37673,-123.04217
49.37687,-123.04223
49.377,-123.04226
49.37725,-123.04234
49.37737,-123.04238
49.37744,-123.04242
49.3775,-123.04244
49.37755,-123.04244
49.37761,-123.04243
49.37766,-123.0424
49.37772,-123.04235
49.37777,-123.04233
49.37781,-123.04232
49.37786,-123.04235
49.37792,-123.04241
49.37795,-123.04243
49.37797,-123.04242
49.37801,-123.0424
49.37808,-123.04232
49.37812,-123.04224
49.37823,-123.04214
49.37838,-123.04206
49.37851,-123.04195
49.37858,-123.04186
49.37863,-123.04182
49.37871,-123.04178
49.37879,-123.04175
49.37885,-123.04171
49.37892,-123.04163
49.37898,-123.04156
49.37907,-123.04147
49.37919,-123.04141
49.37932,-123.04136
49.3794,-123.0413
49.37948,-123.04119
49.37958,-123.04107
49.37973,-123.04094
49.37982,-123.04089
49.37987,-123.04087
49.37992,-123.0408
49.37996,-123.04072
49.38002,-123.04061
49.38008,-123.04057
49.38014,-123.04054
49.38019,-123.04049
49.38025,-123.04042
49.38033,-123.04031
49.38041,-123.04022
49.38046,-123.04014
49.38053,-123.04008
49.38061,-123.04002
49.38068,-123.03999
49.38078,-123.03996
49.3809,-123.03996
49.38092,-123.03996
49.38098,-123.03997
49.38106,-123.03995
49.38112,-123.03991
49.38117,-123.03988
49.3812,-123.03983
49.38125,-123.03977
49.3813,-123.0397
49.38136,-123.03968
49.38145,-123.03967
49.38155,-123.03967
49.38163,-123.03969
49.3817,-123.03971
49.38174,-123.03974
49.38184,-123.03979
49.38188,-123.03979
49.38194,-123.03978
49.38207,-123.03974
49.38226,-123.03968
49.38233,-123.03965
49.38237,-123.03964
49.38241,-123.03965
49.38244,-123.03966
49.38246,-123.03965
49.38249,-123.03964
49.38253,-123.03962
49.38257,-123.0396
49.38261,-123.0396
49.38266,-123.03962
49.3827,-123.03962
49.38273,-123.03961
49.38276,-123.03959
49.38279,-123.03955
49.38284,-123.03948
49.38287,-123.03941
49.38289,-123.03936
49.38293,-123.03934
49.38296,-123.0393
49.38299,-123.03926
49.383,-123.03921
49.38303,-123.03916
49.38313,-123.03906
49.38319,-123.03897
49.38324,-123.03894
49.38329,-123.03892
49.38334,-123.03893
49.38339,-123.03896
49.38344,-123.03899
49.38348,-123.03901
49.38353,-123.03901
49.38357,-123.039
49.38362,-123.03897
49.38366,-123.03895
49.3837,-123.03896
49.38376,-123.03899
49.3838,-123.039
49.38384,-123.039
49.38385,-123.039
49.38394,-123.03899
49.38395,-123.03902
49.38396,-123.03904
49.384,-123.03906
49.38403,-123.0391
49.38406,-123.03918
49.38408,-123.03924
49.38408,-123.0394
49.38409,-123.03946
49.38409,-123.03951
49.38411,-123.03956
49.38411,-123.03961
49.38413,-123.03966
49.38414,-123.03974
49.38418,-123.03981
49.38425,-123.03992
49.38428,-123.04
49.3843,-123.04007
49.38431,-123.04014
49.38431,-123.0402
49.38433,-123.04024
49.38435,-123.04028
49.38439,-123.04032
49.38442,-123.04038
49.38445,-123.04045
49.38448,-123.04052
49.38452,-123.04054
49.38455,-123.04056
49.38459,-123.04057
49.38466,-123.04056
49.38473,-123.04055
49.38477,-123.04055
49.38483,-123.04057
49.38487,-123.04058
49.3849,-123.0406
49.38496,-123.0406
49.38502,-123.04059
49.38507,-123.04058
49.38511,-123.04058
49.38521,-123.0406
49.38531,-123.04063
49.38537,-123.04066
49.38542,-123.0407
49.38547,-123.04075
49.38552,-123.04078
49.38561,-123.04081
49.38568,-123.04083
49.38579,-123.04082
49.38591,-123.04081
49.38598,-123.04081
49.38603,-123.04082
49.38612,-123.04082
49.38619,-123.04083
49.38629,-123.04087
49.38636,-123.04089
49.38646,-123.04089
49.38655,-123.04088
49.38665,-123.04085
49.38674,-123.04082
49.38678,-123.04082
49.38682,-123.04083
49.38688,-123.04084
49.38694,-123.04087
49.38699,-123.0409
49.38708,-123.04091
49.38723,-123.0409
49.38731,-123.0409
49.38738,-123.04088
49.38752,-123.04084
49.38765,-123.04082
49.38775,-123.04082
49.38783,-123.04084
49.38787,-123.04084
49.38792,-123.04084
49.38796,-123.04082
49.388,-123.0408
49.38801,-123.04075
49.38803,-123.04071
49.38805,-123.04068
49.38807,-123.04067
49.38808,-123.04068
49.38811,-123.04071
49.38811,-123.04074
49.38811,-123.0408
49.3881,-123.04087
49.38811,-123.04089
49.38812,-123.04091
49.3882,-123.041
49.38824,-123.04109
49.3883,-123.04117
49.38835,-123.04125
49.38838,-123.04133
49.38839,-123.04142
49.38839,-123.04151
49.38838,-123.04162
49.38836,-123.04177
49.38833,-123.04195
49.38832,-123.04202
49.38833,-123.0421
49.38835,-123.04219
49.3884,-123.04227
49.38844,-123.04233
49.3885,-123.04243
49.38854,-123.04249
49.38858,-123.04254
49.38861,-123.04257
49.38865,-123.04258
49.3887,-123.04257
49.38879,-123.04259
49.38893,-123.0426
49.3891,-123.04261
49.38926,-123.04264
49.38937,-123.04265
49.38943,-123.04265
49.38947,-123.04266
49.38951,-123.04269
49.38955,-123.04276
49.3896,-123.04283
49.38968,-123.04292
49.38978,-123.04306
49.38986,-123.04314
49.38992,-123.04316
49.38997,-123.04321
49.39002,-123.04325
49.39007,-123.04326
49.39018,-123.04332
49.39036,-123.04335
49.39059,-123.04344
49.39069,-123.04346
49.39079,-123.04345
49.3909,-123.04343
49.39099,-123.04345
49.39109,-123.04348
49.39116,-123.0435
49.39128,-123.04351
49.39142,-123.04353
49.39153,-123.04354
49.39163,-123.04352
49.39172,-123.04352
49.39181,-123.04354
49.39196,-123.04362
49.39207,-123.04368
49.39221,-123.04374
49.39234,-123.04386
49.39245,-123.04397
49.39253,-123.044
49.3926,-123.04403
49.3927,-123.04405
49.3928,-123.04405
49.39288,-123.04406
49.39293,-123.04408
49.39298,-123.04411
49.39301,-123.04415
49.39307,-123.0443
49.39315,-123.0444
49.39325,-123.04451
49.39335,-123.04463
49.39345,-123.04475
49.39356,-123.0449
49.39362,-123.04507
49.39371,-123.04521
49.39382,-123.04534
49.3939,-123.04547
49.39399,-123.04564
49.39407,-123.04579
49.39411,-123.0459
49.39412,-123.04606
49.39414,-123.04626
49.39417,-123.04649
49.3942,-123.04674
49.39423,-123.0469
49.39423,-123.047
49.39425,-123.04708
49.3943,-123.04719
49.39434,-123.04725
49.3944,-123.04725
49.39444,-123.04725
49.3945,-123.04723
49.39449,-123.04722
49.3945,-123.04723
49.39444,-123.04725
49.3944,-123.04725
49.39434,-123.04725
49.3943,-123.04719
49.39425,-123.04708
49.39423,-123.047
49.39423,-123.04691
49.3942,-123.04674
49.39417,-123.04649
49.39414,-123.04626
49.39412,-123.04606
49.39411,-123.0459
49.39407,-123.04579
49.39399,-123.04564
49.3939,-123.04547
49.39382,-123.04534
49.39371,-123.04521
49.39362,-123.04507
49.39356,-123.0449
49.39345,-123.04475
49.39335,-123.04463
49.39325,-123.04451
49.39315,-123.0444
49.39307,-123.0443
49.39301,-123.04415
49.39298,-123.04411
49.39293,-123.04408
49.39288,-123.04406
49.3928,-123.04405
49.3927,-123.04405
49.3926,-123.04403
49.39253,-123.044
49.39245,-123.04397
49.39234,-123.04386
49.39221,-123.04374
49.39207,-123.04368
49.39196,-123.04362
49.39181,-123.04354
49.39172,-123.04352
49.39163,-123.04352
49.39153,-123.04354
49.39142,-123.04353
49.39128,-123.04351
49.39116,-123.0435
49.39109,-123.04348
49.39099,-123.04345
49.3909,-123.04343
49.39079,-123.04345
49.39069,-123.04346
49.39059,-123.04344
49.39036,-123.04335
49.39018,-123.04332
49.39007,-123.04326
49.39002,-123.04325
49.38997,-123.04321
49.38992,-123.04316
49.38986,-123.04314
49.38978,-123.04306
49.38968,-123.04292
49.3896,-123.04283
49.38955,-123.04276
49.38951,-123.04269
49.38947,-123.04266
49.38943,-123.04265
49.38937,-123.04265
49.38926,-123.04264
49.3891,-123.04261
49.38893,-123.0426
49.38879,-123.04259
49.3887,-123.04257
49.38865,-123.04258
49.38861,-123.04257
49.38858,-123.04254
49.38854,-123.04249
49.3885,-123.04243
49.38844,-123.04233
49.3884,-123.04227
49.38835,-123.04219
49.38833,-123.0421
49.38832,-123.04202
49.38833,-123.04195
49.38836,-123.04177
49.38838,-123.04162
