"lats","longs"
49.33762,-123.2632
49.33763,-123.26314
49.33762,-123.26308
49.33761,-123.26303
49.33759,-123.26299
49.33759,-123.26288
49.33756,-123.26284
49.33754,-123.26282
49.33751,-123.26279
49.33748,-123.26278
49.33745,-123.26278
49.33742,-123.26277
49.3374,-123.26276
49.33737,-123.26274
49.3373,-123.26272
49.33723,-123.26271
49.33717,-123.26272
49.33712,-123.26272
49.33707,-123.26272
49.33707,-123.26267
49.33707,-123.26263
49.3371,-123.26258
49.33712,-123.26255
49.3372,-123.26245
49.33721,-123.26238
49.33721,-123.26234
49.3372,-123.26229
49.3372,-123.26225
49.3372,-123.26221
49.33719,-123.26215
49.33718,-123.2621
49.33717,-123.26205
49.33714,-123.26202
49.33711,-123.26201
49.33708,-123.26199
49.33704,-123.26197
49.33702,-123.26194
49.33699,-123.26191
49.33697,-123.26187
49.33697,-123.26182
49.33695,-123.26178
49.33692,-123.26178
49.3369,-123.26181
49.33687,-123.26181
49.3369,-123.26179
49.33693,-123.26179
49.33697,-123.26179
49.33701,-123.26179
49.33705,-123.26178
49.33712,-123.26175
49.33714,-123.26167
49.33716,-123.26163
49.33718,-123.2616
49.33722,-123.26158
49.33725,-123.26164
49.33728,-123.26172
49.33731,-123.26174
49.33737,-123.26174
49.33741,-123.26171
49.33741,-123.26166
49.33742,-123.26161
49.33741,-123.26157
49.33742,-123.26153
49.33742,-123.26148
49.33742,-123.26143
49.33743,-123.26138
49.33745,-123.26135
49.33747,-123.26134
49.3375,-123.26133
49.33754,-123.26132
49.33757,-123.26133
49.33762,-123.26134
49.33768,-123.26137
49.33771,-123.26138
49.33774,-123.26138
49.33776,-123.26132
49.33778,-123.26129
49.33781,-123.26125
49.3378,-123.2612
49.33778,-123.26115
49.33777,-123.26111
49.33776,-123.26105
49.3378,-123.26095
49.33782,-123.26088
49.33783,-123.26084
49.33784,-123.2608
49.33785,-123.26075
49.33784,-123.26072
49.33781,-123.26068
49.33777,-123.26063
49.33773,-123.2606
49.33768,-123.26061
49.33765,-123.26064
49.33763,-123.26068
49.33761,-123.26072
49.33758,-123.26074
49.33754,-123.26077
49.33751,-123.26078
49.33748,-123.26079
49.33745,-123.26078
49.33743,-123.26075
49.3374,-123.26073
49.3374,-123.26068
49.33738,-123.26064
49.33736,-123.26057
49.33736,-123.26049
49.33738,-123.26045
49.3374,-123.26043
49.33744,-123.26041
49.33748,-123.26041
49.33756,-123.26038
49.33756,-123.26032
49.33753,-123.26028
49.3375,-123.26026
49.33748,-123.26022
49.33747,-123.26018
49.33747,-123.26014
49.33745,-123.26007
49.33743,-123.26004
49.33741,-123.25999
49.33739,-123.25996
49.33738,-123.25992
49.33735,-123.25989
49.33732,-123.25986
49.33729,-123.25983
49.33727,-123.2598
49.33723,-123.25977
49.33721,-123.25974
49.33718,-123.25971
49.33716,-123.25967
49.33715,-123.25962
49.33713,-123.25958
49.33714,-123.25954
49.33715,-123.25949
49.33717,-123.25945
49.33718,-123.25941
49.33717,-123.25938
49.33715,-123.25934
49.33717,-123.2593
49.3372,-123.25927
49.33723,-123.25925
49.33727,-123.25923
49.33729,-123.25919
49.33732,-123.25918
49.33737,-123.2592
49.3374,-123.25927
49.33744,-123.25925
49.33747,-123.2592
49.33747,-123.25914
49.33746,-123.25908
49.33747,-123.25903
49.33749,-123.25899
49.33751,-123.25894
49.33754,-123.25885
49.33747,-123.25875
49.33739,-123.25876
49.33734,-123.25875
49.33731,-123.25874
49.33728,-123.25871
49.33722,-123.25868
49.33716,-123.25866
49.33714,-123.25861
49.33711,-123.2586
49.33706,-123.2586
49.33702,-123.25859
49.33699,-123.25856
49.33693,-123.2585
49.33693,-123.25837
49.3369,-123.25834
49.33687,-123.25832
49.33683,-123.25828
49.33679,-123.25823
49.33676,-123.25818
49.33674,-123.25814
49.33672,-123.25811
49.33669,-123.2581
49.33667,-123.25809
49.33663,-123.25811
49.3366,-123.25812
49.33658,-123.25813
49.33659,-123.25818
49.33655,-123.25813
49.33651,-123.2581
49.33647,-123.25807
49.33643,-123.25806
49.33638,-123.25805
49.33639,-123.25798
49.33636,-123.25798
49.33636,-123.25793
49.33635,-123.25789
49.33632,-123.25787
49.33627,-123.25787
49.33621,-123.25787
49.33617,-123.25788
49.33612,-123.25789
49.33608,-123.25791
49.33604,-123.25794
49.33599,-123.25793
49.33595,-123.25788
49.33593,-123.25784
49.33591,-123.25777
49.3359,-123.25771
49.33588,-123.25766
49.33586,-123.2576
49.33584,-123.25756
49.33585,-123.25748
49.33584,-123.25753
49.3358,-123.25758
49.33566,-123.25751
49.33562,-123.25746
49.33559,-123.25741
49.33556,-123.2574
49.33552,-123.25736
49.33549,-123.25732
49.33545,-123.25731
49.33542,-123.25731
49.33538,-123.25732
49.33532,-123.25733
49.33523,-123.25734
49.33514,-123.25737
49.33509,-123.2574
49.33504,-123.25742
49.33501,-123.25742
49.33498,-123.25741
49.33495,-123.2574
49.33493,-123.25737
