"lats","longs"
49.34192,-123.01999
49.34214,-123.01973
49.3422,-123.01973
49.34225,-123.01971
49.34231,-123.01969
49.34236,-123.01969
49.34243,-123.01967
49.34249,-123.01967
49.34254,-123.01967
49.3426,-123.01967
49.34266,-123.01967
49.34271,-123.01967
49.34278,-123.01969
49.34284,-123.01969
49.34291,-123.01969
49.34298,-123.01969
49.34305,-123.01967
49.3431,-123.01965
49.34313,-123.01958
49.34316,-123.01952
49.34319,-123.01945
49.3432,-123.01937
49.34323,-123.0193
49.34324,-123.01922
49.34326,-123.01913
49.34329,-123.01904
49.34331,-123.01898
49.34334,-123.01892
49.34338,-123.01887
49.34343,-123.01883
49.34345,-123.01877
49.34348,-123.01868
49.34352,-123.01864
49.34357,-123.01859
49.34362,-123.01855
49.34366,-123.01851
49.34371,-123.01847
49.34373,-123.0184
49.34376,-123.01834
49.34379,-123.01827
49.34384,-123.01823
49.34389,-123.01819
49.34393,-123.01814
49.34396,-123.01808
49.34398,-123.01801
49.34401,-123.01795
49.34403,-123.01791
49.34425,-123.01789
49.34429,-123.01795
49.34432,-123.01801
49.34436,-123.0181
49.3444,-123.01816
49.34445,-123.01823
49.34446,-123.01831
49.34447,-123.0184
49.3445,-123.01847
49.34453,-123.01855
49.34456,-123.01862
49.3446,-123.01866
49.34466,-123.01868
49.34471,-123.01872
49.34478,-123.01874
49.34484,-123.01877
49.34488,-123.01881
49.34492,-123.01887
49.34496,-123.01894
49.34499,-123.019
49.34502,-123.01907
49.34505,-123.01913
49.34509,-123.01917
49.34513,-123.01922
49.34514,-123.01922
49.34545,-123.01941
49.34551,-123.01941
49.34556,-123.01941
49.34562,-123.01941
49.34568,-123.01941
49.34573,-123.01937
49.34579,-123.01934
49.34584,-123.01934
49.34589,-123.01939
49.34593,-123.01943
49.34598,-123.01947
49.34605,-123.01947
49.34611,-123.01947
49.34617,-123.01947
49.34622,-123.01943
49.34628,-123.01943
49.34633,-123.01943
49.34639,-123.01945
49.34643,-123.0195
49.34647,-123.01954
49.34653,-123.01954
49.3466,-123.01956
49.34665,-123.01956
49.34671,-123.01956
49.34677,-123.0196
49.34679,-123.01967
49.34684,-123.01971
49.34688,-123.01977
49.34691,-123.01984
49.34693,-123.0199
49.34698,-123.01995
49.34702,-123.02001
49.34705,-123.02007
49.34707,-123.02016
49.34709,-123.02025
49.3471,-123.02033
49.34712,-123.0204
49.34721,-123.0202
49.34726,-123.02016
49.3473,-123.02012
49.34735,-123.0201
49.34741,-123.02005
49.34747,-123.02001
49.34751,-123.01997
49.34755,-123.01992
49.34761,-123.01988
49.34763,-123.01982
49.34766,-123.01975
49.34769,-123.01969
49.3477,-123.0196
49.3477,-123.01952
49.34773,-123.01945
49.34773,-123.01937
49.34773,-123.01928
49.34772,-123.01919
49.34769,-123.01913
49.34769,-123.01904
49.34772,-123.01898
49.34776,-123.01894
49.34779,-123.01887
49.3478,-123.01879
49.3478,-123.0187
49.34783,-123.01862
49.34786,-123.01855
49.3479,-123.01851
49.34793,-123.01844
49.34793,-123.01836
49.34793,-123.01827
49.34793,-123.01819
49.34793,-123.0181
49.34794,-123.01801
49.34795,-123.01793
49.34797,-123.01782
49.34797,-123.01774
49.34797,-123.01765
49.34795,-123.01756
49.34794,-123.01748
49.34791,-123.01741
49.34786,-123.01739
49.34782,-123.01735
49.34776,-123.01733
49.3477,-123.01731
49.34765,-123.01726
49.34758,-123.01722
49.34752,-123.01718
49.34747,-123.01716
49.34742,-123.01711
49.34738,-123.01707
49.34735,-123.01701
49.34731,-123.01696
49.34727,-123.0169
49.34723,-123.01686
49.34717,-123.01683
49.34712,-123.01683
49.34706,-123.01681
49.347,-123.01681
49.34695,-123.01679
49.34691,-123.01675
49.34686,-123.01671
49.34682,-123.01668
49.34668,-123.01668
49.34668,-123.01677
49.34668,-123.01686
49.34667,-123.01694
49.34665,-123.01705
49.34664,-123.01713
49.34663,-123.01722
49.3466,-123.01731
49.34657,-123.01739
49.34654,-123.01746
49.3465,-123.01752
49.34646,-123.01756
49.3464,-123.01761
49.34635,-123.01763
49.34629,-123.01765
49.34624,-123.01765
49.34618,-123.01765
49.34612,-123.01765
49.34607,-123.01761
49.34601,-123.01759
49.34594,-123.01759
49.34589,-123.01759
49.34583,-123.01761
49.34577,-123.01763
49.34573,-123.01767
49.34569,-123.01771
49.34565,-123.01776
49.34559,-123.0178
49.34554,-123.01782
49.34548,-123.01782
49.34542,-123.01782
49.34537,-123.01782
49.34531,-123.01782
49.34523,-123.01784
49.34517,-123.01789
49.34512,-123.01793
49.34506,-123.01795
49.34501,-123.01795
49.34495,-123.01795
49.34495,-123.01795
49.3447,-123.01782
49.34466,-123.01778
49.34461,-123.01774
49.3446,-123.01765
49.34459,-123.01756
49.34454,-123.0175
49.3445,-123.01746
49.34446,-123.01741
49.34442,-123.01735
49.3444,-123.01726
49.3444,-123.01716
49.34439,-123.01707
49.34438,-123.01698
49.34435,-123.01698
49.34428,-123.01671
49.34424,-123.01666
49.34418,-123.01666
49.34414,-123.01671
49.34411,-123.01677
49.34408,-123.01686
49.34404,-123.01692
49.344,-123.01696
49.34394,-123.01698
49.34389,-123.01698
49.34386,-123.01692
49.34384,-123.01683
49.34383,-123.01675
49.34383,-123.01666
49.34382,-123.01658
49.34379,-123.01651
49.34375,-123.01647
49.34369,-123.01645
49.34364,-123.01643
49.34358,-123.01638
49.34354,-123.01634
49.3435,-123.01628
49.34347,-123.01619
49.34347,-123.0161
49.34345,-123.01602
49.34344,-123.01593
49.34344,-123.01585
49.34344,-123.01576
49.34344,-123.01565
49.34344,-123.01557
49.34344,-123.01548
49.34341,-123.0154
49.3434,-123.01531
49.34338,-123.01522
49.34336,-123.01516
49.34331,-123.01512
49.34326,-123.0151
49.34322,-123.0151
49.34301,-123.01497
49.34296,-123.01501
49.34291,-123.01503
49.34285,-123.01503
49.3428,-123.01503
49.34274,-123.01501
49.34268,-123.01501
49.34263,-123.01501
49.34259,-123.01505
49.34259,-123.01514
49.34259,-123.01522
49.34261,-123.01529
49.34264,-123.01535
49.34264,-123.01544
49.34261,-123.0155
49.34257,-123.01555
49.34253,-123.01559
49.34249,-123.01563
49.34245,-123.01568
49.34239,-123.0157
49.34233,-123.0157
49.34228,-123.01568
49.34224,-123.01563
49.34218,-123.01561
49.34213,-123.01561
49.34207,-123.01561
49.34201,-123.01561
49.34196,-123.01561
49.3419,-123.01559
49.34186,-123.01555
49.34183,-123.01548
49.34179,-123.01542
49.34176,-123.01535
49.34175,-123.01527
49.34169,-123.01525
49.34164,-123.01525
49.34158,-123.01527
49.34154,-123.01531
49.3415,-123.01535
49.34147,-123.01542
49.34145,-123.01548
49.34147,-123.01572
49.3415,-123.0158
49.34152,-123.01587
49.34155,-123.01593
49.34157,-123.01602
49.34158,-123.0161
49.34157,-123.01619
49.34159,-123.01625
49.34161,-123.01634
49.34157,-123.01638
49.34154,-123.01647
49.34151,-123.01656
49.3415,-123.01664
49.34151,-123.01673
49.34157,-123.01675
49.34162,-123.01675
49.34166,-123.01671
49.34172,-123.01668
49.34179,-123.01664
49.34185,-123.01662
49.34192,-123.01658
49.34197,-123.01658
49.34204,-123.01656
49.3421,-123.01653
49.34215,-123.01653
49.34221,-123.01653
49.34227,-123.01653
49.34232,-123.01653
49.34238,-123.01656
49.34243,-123.0166
49.34249,-123.01666
49.34254,-123.01673
49.34259,-123.01679
49.34261,-123.01681
49.34284,-123.01703
49.34289,-123.01709
49.34294,-123.01713
49.34299,-123.01718
49.34305,-123.01724
49.34312,-123.01731
49.34316,-123.01735
49.3432,-123.01739
49.34319,-123.01748
