"lats","longs"
49.35985,-123.02782
49.35991,-123.02782
49.35996,-123.02782
49.36002,-123.02782
49.36007,-123.02782
49.36013,-123.02782
49.36018,-123.02782
49.36024,-123.02782
49.3603,-123.02782
49.36035,-123.02782
49.36041,-123.02782
49.36049,-123.02782
49.36055,-123.02782
49.3606,-123.02782
49.36066,-123.02786
49.36072,-123.02791
49.36077,-123.02799
49.36086,-123.02808
49.36091,-123.02812
49.36097,-123.02825
49.36102,-123.02834
49.36108,-123.02838
49.36114,-123.02838
49.36119,-123.02838
49.3613,-123.02838
49.36139,-123.02838
49.36144,-123.02838
49.36155,-123.02838
49.36159,-123.02814
49.36155,-123.02799
49.36149,-123.02781
49.36124,-123.0274
49.36098,-123.02695
49.36068,-123.0266
49.36025,-123.02616
49.36005,-123.02536
49.3596,-123.02505
49.35917,-123.02462
49.35925,-123.0245
49.3593,-123.02443
49.35936,-123.02439
49.35951,-123.02442
49.35963,-123.02439
49.35971,-123.02436
49.35982,-123.02423
49.35988,-123.02407
49.35992,-123.02351
49.35995,-123.02328
49.35994,-123.02316
49.35988,-123.02294
49.35987,-123.02276
49.35989,-123.02267
49.35996,-123.02259
49.36004,-123.02256
49.36014,-123.02257
49.36046,-123.02281
49.36052,-123.02289
49.36062,-123.02324
49.36074,-123.02349
49.36079,-123.02367
49.3608,-123.0238
49.36084,-123.02392
49.36092,-123.02407
49.36097,-123.02412
49.36108,-123.02417
49.36116,-123.02425
49.36119,-123.02434
49.3613,-123.02485
49.36135,-123.02492
49.36205,-123.02503
49.36216,-123.02509
49.36229,-123.02521
49.36239,-123.02526
49.36249,-123.0253
49.36279,-123.02543
49.36291,-123.02554
49.3631,-123.02573
49.36326,-123.02595
49.36353,-123.02622
49.36374,-123.02635
49.36405,-123.02642
49.36444,-123.02667
49.36469,-123.02669
49.36494,-123.02664
49.36518,-123.02655
49.36539,-123.0266
49.36548,-123.02664
49.36559,-123.02684
49.3656,-123.02704
49.36562,-123.02714
49.36574,-123.02767
49.36585,-123.02846
49.36612,-123.02969
49.3664,-123.03028
49.36696,-123.03057
49.36741,-123.03043
49.36775,-123.03022
49.36816,-123.03004
49.3683,-123.03022
49.36853,-123.0302
49.36888,-123.03049
49.36918,-123.03034
49.36932,-123.03038
49.36951,-123.03068
49.36985,-123.03073
49.37002,-123.03057
49.3704,-123.03045
49.37055,-123.03038
49.37093,-123.03038
49.37115,-123.0305
49.37141,-123.03087
49.37173,-123.03098
49.37208,-123.03101
49.37236,-123.03116
49.37257,-123.03092
49.37281,-123.03085
49.37314,-123.03109
49.37332,-123.03096
49.37356,-123.03115
49.37423,-123.03127
49.37446,-123.03115
49.37465,-123.03125
49.37476,-123.03124
49.37487,-123.03105
49.37515,-123.03097
49.37529,-123.03114
49.37558,-123.0317
49.37567,-123.03174
49.37576,-123.03172
49.37608,-123.03202
49.37627,-123.03233
49.37626,-123.03251
49.3764,-123.0327
49.37629,-123.03293
49.37612,-123.03303
49.37594,-123.03275
49.37598,-123.03306
49.37614,-123.03333
49.37622,-123.03342
49.37597,-123.03359
49.37577,-123.03341
49.3757,-123.03324
49.37582,-123.03368
49.37581,-123.034
49.37589,-123.03426
49.3759,-123.03445
49.37578,-123.03453
49.37585,-123.03471
49.37603,-123.0347
49.37611,-123.03481
49.37589,-123.03488
49.37581,-123.03497
49.3759,-123.03512
49.37597,-123.03539
