"lats","longs"
49.35699,-123.02601
49.3574,-123.02661
49.35791,-123.02772
49.3584,-123.0279
49.35889,-123.02808
49.35947,-123.02787
49.35975,-123.02792
49.35973,-123.02793
49.35987,-123.02791
49.36009,-123.02794
49.36018,-123.02796
49.36027,-123.02797
49.3604,-123.02802
49.36055,-123.02813
49.36064,-123.02816
49.36074,-123.02818
49.36082,-123.02823
49.36088,-123.02826
49.36109,-123.02826
49.36128,-123.02822
49.36139,-123.02823
49.36146,-123.02806
49.36146,-123.02789
49.36128,-123.02746
49.36105,-123.027
49.36074,-123.02665
49.3603,-123.0262
49.3601,-123.02539
49.35965,-123.02509
49.35921,-123.02466
49.35921,-123.02448
49.35923,-123.02441
49.35943,-123.02444
49.35957,-123.02443
49.35973,-123.0244
49.35984,-123.02431
49.35989,-123.02417
49.35994,-123.02337
49.35993,-123.023
49.36003,-123.0227
49.36016,-123.02266
49.36027,-123.02272
49.36049,-123.02275
49.36057,-123.02329
49.36074,-123.02374
49.36089,-123.02395
49.36109,-123.02432
49.36122,-123.02458
49.36132,-123.02482
49.36156,-123.02492
49.3619,-123.02491
49.36212,-123.02496
49.36233,-123.02518
49.36243,-123.02527
49.36278,-123.02561
49.36285,-123.02555
49.36294,-123.02558
49.36306,-123.02565
49.36328,-123.02559
49.36347,-123.02559
49.36367,-123.02562
49.3639,-123.02565
49.36426,-123.02592
49.36456,-123.02594
49.36548,-123.02574
49.36601,-123.02564
49.36657,-123.02564
49.36686,-123.02557
49.36702,-123.02542
49.36725,-123.02549
49.36722,-123.02536
49.36728,-123.02518
49.36736,-123.0249
49.36738,-123.02471
49.36733,-123.02455
49.36727,-123.02433
49.36702,-123.02403
49.36698,-123.02391
49.3668,-123.02375
49.36694,-123.02365
49.36705,-123.02359
49.36721,-123.02339
49.3673,-123.02328
49.36741,-123.02315
49.36743,-123.02299
49.36753,-123.0228
49.36766,-123.02262
49.36767,-123.02243
49.36774,-123.02233
49.36794,-123.02256
49.36803,-123.02261
49.36858,-123.02266
49.36904,-123.02296
49.36905,-123.02268
49.36936,-123.02278
49.36954,-123.02295
49.36956,-123.0228
49.36956,-123.02243
49.36969,-123.0222
49.36977,-123.02191
49.36985,-123.02185
49.36991,-123.02183
49.37011,-123.02189
49.37027,-123.02187
49.37063,-123.02177
49.37106,-123.02166
49.37137,-123.02161
49.37154,-123.02177
49.37179,-123.02177
49.37211,-123.02166
49.37265,-123.02167
49.37305,-123.02159
49.37352,-123.02136
49.37387,-123.02125
49.37414,-123.02126
49.37431,-123.02121
49.37461,-123.02092
49.37491,-123.02051
49.37527,-123.02021
49.37543,-123.02031
49.37554,-123.02068
49.37564,-123.02126
49.37576,-123.02155
49.37605,-123.02111
49.37637,-123.02086
49.37678,-123.02073
49.37715,-123.02064
49.37732,-123.02055
49.37744,-123.02045
49.37748,-123.0204
49.37757,-123.02046
49.37779,-123.02062
49.37806,-123.02078
49.37827,-123.02081
49.37831,-123.02087
49.37834,-123.02113
49.37826,-123.02124
49.37817,-123.02147
49.37799,-123.02173
49.37794,-123.02191
49.37796,-123.02198
49.37807,-123.02201
49.37828,-123.02201
49.37849,-123.02202
49.3789,-123.02193
49.37922,-123.02191
49.37949,-123.02187
49.37962,-123.02193
49.37972,-123.02187
49.37972,-123.02174
49.37974,-123.02166
49.37988,-123.02153
49.37993,-123.02146
49.37996,-123.02132
49.37998,-123.02123
49.38004,-123.02115
49.38012,-123.0211
49.38017,-123.02098
49.38025,-123.0209
49.38029,-123.02089
49.38034,-123.02095
49.38039,-123.02095
49.38048,-123.02097
49.38054,-123.02099
49.38072,-123.02099
49.38086,-123.02102
49.38093,-123.02102
49.38107,-123.02103
49.38116,-123.02105
49.38124,-123.02104
49.38139,-123.02072
49.38162,-123.02034
49.38174,-123.02018
49.38178,-123.02005
49.38178,-123.01985
49.38177,-123.01962
49.3818,-123.0194
49.38182,-123.0193
49.382,-123.019
49.38214,-123.01877
49.38225,-123.01865
49.38238,-123.01861
49.38248,-123.01863
49.3826,-123.01875
49.38294,-123.01873
49.3832,-123.01875
49.38328,-123.01873
49.38334,-123.0186
49.38339,-123.0185
49.38339,-123.01815
49.3835,-123.01797
49.38389,-123.01779
49.38411,-123.01775
49.3844,-123.01761
49.38486,-123.01734
49.38511,-123.01729
49.38522,-123.01731
49.38528,-123.0173
49.38535,-123.01733
49.38539,-123.01743
49.38573,-123.0175
49.38605,-123.01734
49.38611,-123.01744
49.3866,-123.01729
49.38674,-123.01729
49.38709,-123.017
49.38717,-123.01721
49.38862,-123.01787
49.38907,-123.01777
49.38926,-123.01791
49.38965,-123.01768
49.38987,-123.01743
49.39012,-123.01752
49.39017,-123.0173
49.39076,-123.0174
49.3915,-123.01646
49.39192,-123.01672
49.39244,-123.01646
49.39246,-123.01611
49.39272,-123.01594
49.39279,-123.01594
49.39279,-123.01606
49.39312,-123.01617
49.39355,-123.01604
49.39378,-123.01554
49.39391,-123.0154
49.39459,-123.01528
49.39471,-123.0154
49.395,-123.01507
49.39499,-123.01486
49.39492,-123.01485
49.39513,-123.01458
49.39514,-123.01444
49.3955,-123.01439
49.39514,-123.01444
49.39513,-123.01458
49.39492,-123.01485
49.39499,-123.01486
49.395,-123.01507
49.39471,-123.0154
49.39459,-123.01528
49.39391,-123.0154
49.39378,-123.01554
49.39355,-123.01604
49.39312,-123.01617
49.39279,-123.01606
49.39279,-123.01594
