"lats","longs"
49.36589,-122.94877
49.36588,-122.94877
49.3661,-122.94853
49.36619,-122.94853
49.36626,-122.94853
49.36631,-122.94853
49.36637,-122.94853
49.36643,-122.94853
49.36648,-122.94853
49.36654,-122.94853
49.36661,-122.94853
49.36666,-122.94853
49.36672,-122.94856
49.36678,-122.94858
49.36683,-122.94862
49.36687,-122.94868
49.36692,-122.94875
49.36694,-122.94881
49.36697,-122.9489
49.367,-122.94896
49.36703,-122.94903
49.36707,-122.94907
49.36714,-122.94909
49.36721,-122.94909
49.36726,-122.94909
49.36731,-122.94905
49.36736,-122.94903
49.36743,-122.94903
49.36749,-122.94903
49.36756,-122.94903
49.3676,-122.94903
49.3676,-122.94915
49.36774,-122.94915
49.36799,-122.9491
49.36806,-122.94907
49.36824,-122.94907
49.3683,-122.9491
49.36834,-122.94904
49.36836,-122.94901
49.36839,-122.94897
49.36842,-122.94894
49.36845,-122.94893
49.36848,-122.9489
49.36851,-122.94884
49.36854,-122.94878
49.36855,-122.94872
49.36856,-122.94866
49.36857,-122.94862
49.36857,-122.94855
49.36858,-122.94851
49.36858,-122.94843
49.36858,-122.94839
49.36858,-122.94834
49.36859,-122.94829
49.3686,-122.94823
49.36862,-122.9482
49.36864,-122.94817
49.36867,-122.94813
49.36868,-122.94808
49.36866,-122.94804
49.36863,-122.94798
49.36858,-122.94794
49.36861,-122.94788
49.3687,-122.94781
49.36888,-122.9478
49.36893,-122.94782
49.36894,-122.94778
49.36893,-122.94766
49.36897,-122.94751
49.36906,-122.94741
49.36906,-122.9474
49.36914,-122.9473
49.36923,-122.94719
49.3693,-122.94705
49.36938,-122.94691
49.36948,-122.94668
49.36958,-122.94656
49.36967,-122.9465
49.36979,-122.94632
49.36996,-122.94598
49.37006,-122.9459
49.37016,-122.94592
49.37035,-122.94597
49.37068,-122.94596
49.37091,-122.94586
49.37103,-122.94588
49.37106,-122.94587
49.37117,-122.94573
49.37135,-122.94566
49.37158,-122.94533
49.37163,-122.9452
49.37163,-122.94511
49.37162,-122.9449
49.37165,-122.94475
49.37172,-122.94464
49.37181,-122.94461
49.37188,-122.94454
49.37191,-122.94439
49.37189,-122.94426
49.37183,-122.94386
49.37189,-122.94353
49.37205,-122.94322
49.37219,-122.94302
49.37231,-122.94281
49.37241,-122.94264
49.3725,-122.94256
49.37274,-122.94224
49.3728,-122.94218
49.37295,-122.94213
49.37306,-122.94206
49.37315,-122.94192
49.37328,-122.94173
49.37328,-122.94173
49.37328,-122.94173
49.37341,-122.94167
49.37356,-122.94163
49.37374,-122.94159
49.37387,-122.94157
49.37408,-122.94156
49.37428,-122.94157
49.37438,-122.94154
49.37433,-122.94135
49.37434,-122.94114
49.37444,-122.94095
49.37477,-122.94083
49.37494,-122.94093
49.37509,-122.9409
49.37525,-122.94075
49.37529,-122.94066
49.37529,-122.94066
49.37538,-122.94041
49.37558,-122.94014
49.37571,-122.9398
49.3761,-122.93951
49.37627,-122.93945
49.3764,-122.93941
49.37663,-122.93944
49.37698,-122.93958
49.37712,-122.9397
49.37738,-122.93987
49.37746,-122.93996
49.37754,-122.9401
49.37761,-122.94016
49.37771,-122.94022
49.37778,-122.94021
49.37786,-122.94035
49.37799,-122.94067
49.37803,-122.9408
49.37808,-122.94094
49.37815,-122.94118
49.3782,-122.94151
49.37824,-122.94165
49.37828,-122.94182
49.37831,-122.94213
49.37831,-122.94234
49.37828,-122.94254
49.37817,-122.94282
49.37805,-122.94318
49.37804,-122.94339
49.37798,-122.94366
49.37783,-122.94402
49.3776,-122.94437
49.37754,-122.94444
49.37754,-122.94444
49.37742,-122.94456
49.3775,-122.94434
49.37757,-122.94412
49.37763,-122.94389
49.37768,-122.94368
49.37771,-122.94347
49.37773,-122.94322
49.37772,-122.94298
49.37772,-122.94272
49.37774,-122.94254
49.37772,-122.94244
49.37769,-122.94237
49.37766,-122.94234
49.37766,-122.94234
49.37769,-122.94237
49.37772,-122.94244
49.37774,-122.94254
49.37772,-122.94272
49.37772,-122.94298
49.37773,-122.94322
49.37771,-122.94347
49.37768,-122.94368
49.37763,-122.94389
49.37757,-122.94412
49.3775,-122.94434
49.37742,-122.94456
49.37734,-122.94468
49.37721,-122.94482
49.37706,-122.94501
49.3763,-122.94569
49.37573,-122.94611
49.37554,-122.94617
49.37554,-122.94617
49.37513,-122.94632
49.37457,-122.94642
49.37441,-122.94627
49.37418,-122.94601
49.37409,-122.94591
49.37398,-122.94576
49.37374,-122.94542
49.37357,-122.94546
49.37348,-122.94547
49.37342,-122.94545
49.37337,-122.9454
49.37328,-122.94523
49.37322,-122.94513
49.37314,-122.94505
49.37306,-122.94505
49.37301,-122.94505
49.37297,-122.94508
49.37303,-122.94472
49.37309,-122.94447
49.37314,-122.94429
49.3732,-122.94411
49.37326,-122.94398
49.37332,-122.94383
49.37342,-122.94366
49.37347,-122.94362
49.37353,-122.94357
49.37362,-122.94348
49.37377,-122.94337
49.37394,-122.94326
49.3741,-122.94315
49.37421,-122.94309
49.37428,-122.94308
49.37434,-122.94286
49.37442,-122.94263
49.37443,-122.94257
49.37438,-122.94254
49.37438,-122.94254
