"lats","longs"
49.35958,-123.02784
49.36034,-123.02819
49.36038,-123.02819
49.36042,-123.02815
49.36045,-123.02811
49.36043,-123.02805
49.36048,-123.02807
49.3605,-123.02809
49.36054,-123.02812
49.36056,-123.02814
49.3606,-123.02816
49.36063,-123.02818
49.36066,-123.02819
49.3607,-123.0282
49.36074,-123.02821
49.36078,-123.02822
49.36083,-123.02823
49.36087,-123.02824
49.36092,-123.02827
49.36095,-123.02828
49.361,-123.02828
49.36104,-123.02827
49.36107,-123.02826
49.36111,-123.02825
49.36115,-123.02824
49.36119,-123.02823
49.36123,-123.02822
49.36126,-123.02821
49.3613,-123.02821
49.36134,-123.02821
49.36139,-123.02821
49.36143,-123.02821
49.36147,-123.02821
49.36152,-123.0282
49.36156,-123.0282
49.36161,-123.0282
49.36165,-123.02823
49.36167,-123.02826
49.36171,-123.0283
49.36175,-123.02831
49.36179,-123.02831
49.36184,-123.02833
49.36188,-123.02835
49.36192,-123.02836
49.36196,-123.02837
49.362,-123.02839
49.36203,-123.02843
49.36207,-123.02846
49.36211,-123.02849
49.36214,-123.02852
49.36218,-123.02856
49.36222,-123.02858
49.36226,-123.0286
49.36229,-123.02864
49.36232,-123.02868
49.36235,-123.02871
49.36238,-123.02875
49.36241,-123.0288
49.36244,-123.02884
49.36248,-123.02888
49.36251,-123.02892
49.36255,-123.02896
49.36258,-123.029
49.36261,-123.02904
49.36265,-123.02908
49.36268,-123.02911
49.36272,-123.02914
49.36276,-123.02917
49.36279,-123.02921
49.36283,-123.02925
49.36287,-123.02928
49.36292,-123.0293
49.36295,-123.02934
49.36299,-123.02936
49.36302,-123.02938
49.36306,-123.0294
49.3631,-123.02944
49.36313,-123.02948
49.36317,-123.02953
49.36319,-123.02956
49.36323,-123.02961
49.36327,-123.02966
49.36331,-123.02971
49.36334,-123.02974
49.36337,-123.02977
49.36341,-123.02981
49.36344,-123.02984
49.36348,-123.02986
49.36352,-123.02988
49.36356,-123.0299
49.36361,-123.02992
49.36365,-123.02995
49.36369,-123.02997
49.36373,-123.02999
49.36377,-123.03003
49.3638,-123.03006
49.36384,-123.0301
49.36387,-123.03014
49.36391,-123.03017
49.36394,-123.03021
49.36398,-123.03025
49.364,-123.03029
49.36404,-123.03034
49.36408,-123.03037
49.36411,-123.0304
49.36413,-123.03045
49.36415,-123.03049
49.36418,-123.03054
49.36422,-123.03058
49.36425,-123.03062
49.36429,-123.03066
49.36433,-123.0307
49.36436,-123.03073
49.36439,-123.03077
49.36442,-123.03081
49.36444,-123.03086
49.36445,-123.03091
49.36447,-123.03097
49.36449,-123.03102
49.36452,-123.03107
49.36456,-123.03112
49.36461,-123.03115
49.36465,-123.03118
49.36469,-123.03121
49.36472,-123.03125
49.36475,-123.03129
49.36478,-123.03134
49.36481,-123.0314
49.36484,-123.03143
49.36487,-123.03145
49.36491,-123.03148
49.36494,-123.03152
49.36497,-123.03157
49.36499,-123.03162
49.36502,-123.03167
49.36505,-123.0317
49.3651,-123.03172
49.36514,-123.03174
49.36518,-123.03176
49.36522,-123.03179
49.36526,-123.03182
49.36529,-123.03185
49.36532,-123.03189
49.36535,-123.03191
49.36539,-123.03191
49.36543,-123.03193
49.36547,-123.03195
49.36551,-123.03198
49.36555,-123.032
49.36559,-123.03201
49.36563,-123.03203
49.36567,-123.03205
49.36571,-123.03208
49.36575,-123.03212
49.36579,-123.03215
49.36582,-123.03215
49.36586,-123.03216
49.3659,-123.03217
49.36594,-123.03218
49.36598,-123.03218
49.36603,-123.03218
49.36607,-123.03219
49.36611,-123.03221
49.36616,-123.03223
49.3662,-123.03226
49.36624,-123.03227
49.36628,-123.03229
49.36633,-123.0323
49.36637,-123.03231
49.36641,-123.03231
49.36645,-123.03231
49.3665,-123.03231
49.36653,-123.03231
49.36658,-123.03233
49.36661,-123.03236
49.36665,-123.03236
49.36669,-123.03235
49.36674,-123.03235
49.36679,-123.03235
49.36683,-123.03236
49.36687,-123.03238
49.36692,-123.0324
49.36696,-123.0324
49.36701,-123.03236
49.36704,-123.03233
49.36708,-123.03231
49.36712,-123.03232
49.36716,-123.03233
49.3672,-123.03235
