"lats","longs"
49.36679,-122.9484
49.36676,-122.94827
49.36687,-122.9484
49.36681,-122.94814
49.36675,-122.94791
49.36669,-122.94811
49.3668,-122.94837
49.36694,-122.94842
49.36711,-122.94852
49.36727,-122.94869
49.3674,-122.94889
49.36753,-122.94908
49.36764,-122.9492
49.36779,-122.9492
49.36798,-122.94918
49.36819,-122.94927
49.36838,-122.94928
49.36853,-122.94925
49.36872,-122.94932
49.36891,-122.94936
49.36909,-122.9494
49.36927,-122.94946
49.36946,-122.94942
49.36964,-122.94939
49.36982,-122.94932
49.36998,-122.94921
49.37017,-122.94922
49.37035,-122.94922
49.37053,-122.94917
49.37071,-122.9491
49.37088,-122.94902
49.37107,-122.949
49.37125,-122.94903
49.37144,-122.94906
49.37162,-122.94907
49.3718,-122.94915
49.37198,-122.94922
49.37215,-122.94933
49.37232,-122.94945
49.37251,-122.94949
49.37269,-122.94955
49.37286,-122.94965
49.37303,-122.94979
49.37322,-122.9498
49.3734,-122.94977
49.37358,-122.94971
49.37376,-122.94966
49.37392,-122.94952
49.37409,-122.94939
49.37427,-122.94928
49.37443,-122.94916
49.37453,-122.94892
49.37463,-122.94867
49.37474,-122.94845
49.37485,-122.94823
49.37501,-122.94809
49.37517,-122.94794
49.37528,-122.94771
49.37543,-122.94755
49.37556,-122.94737
49.37571,-122.9472
49.37587,-122.94705
49.37604,-122.94696
49.37619,-122.9468
49.37633,-122.94662
49.37641,-122.94636
49.37648,-122.94609
49.3766,-122.94589
49.37673,-122.9457
49.37691,-122.94564
49.37707,-122.94565
49.37721,-122.94548
49.37737,-122.94534
49.37753,-122.94519
49.37763,-122.94497
49.37777,-122.94477
49.37784,-122.94451
49.37788,-122.94423
49.37794,-122.94397
49.3781,-122.94383
49.37827,-122.94371
49.37844,-122.94362
49.37862,-122.94352
49.37879,-122.94342
49.37897,-122.9433
49.37914,-122.94332
49.37931,-122.9434
49.37947,-122.94355
49.37959,-122.94376
49.37977,-122.94384
49.37989,-122.94406
49.38004,-122.94405
49.38018,-122.94406
49.38035,-122.94394
49.38049,-122.94387
49.38056,-122.94361
49.38066,-122.94339
49.38083,-122.94326
49.38095,-122.94312
49.3811,-122.94294
49.38118,-122.94268
49.38125,-122.94241
49.38135,-122.94218
49.38151,-122.94196
49.38167,-122.94183
49.38182,-122.94167
49.38196,-122.94156
49.38213,-122.94158
49.38229,-122.94171
49.38244,-122.94155
49.38258,-122.94136
49.38273,-122.94121
49.38291,-122.94114
49.3831,-122.9411
49.38324,-122.9412
49.38338,-122.94124
49.38353,-122.94107
49.38353,-122.9408
49.38344,-122.94056
49.38329,-122.94045
49.38326,-122.94018
49.38327,-122.9399
49.38333,-122.93963
49.38342,-122.93937
49.38354,-122.93916
49.38361,-122.93891
49.38372,-122.93866
49.3839,-122.93869
49.38408,-122.93879
49.38426,-122.9388
49.38443,-122.93872
49.38461,-122.93863
49.38474,-122.93843
49.38483,-122.93818
49.38492,-122.93797
49.385,-122.93772
49.38516,-122.93757
49.3853,-122.93739
49.3854,-122.93715
49.38552,-122.93694
49.38567,-122.93681
49.38577,-122.93665
49.38586,-122.9364
49.38599,-122.93621
49.38618,-122.93619
49.38636,-122.93612
49.38652,-122.93606
49.38666,-122.93608
49.38681,-122.93608
49.38686,-122.93629
49.38674,-122.93652
49.38672,-122.93677
49.38688,-122.93678
49.38695,-122.93704
49.38709,-122.9372
49.38726,-122.93729
49.38733,-122.93755
49.38731,-122.93782
49.38728,-122.9381
49.38727,-122.93839
49.38728,-122.93868
49.38732,-122.93895
49.38733,-122.93922
49.38731,-122.9395
49.38736,-122.93978
49.38744,-122.94009
49.3875,-122.94031
49.38757,-122.94054
49.38758,-122.94079
49.38746,-122.94093
49.3873,-122.94106
49.38743,-122.94095
49.38761,-122.94088
49.38772,-122.9407
49.38775,-122.94042
49.38774,-122.94018
49.38774,-122.9399
49.38765,-122.93965
49.38749,-122.93963
49.38734,-122.93943
49.38737,-122.93916
49.38725,-122.93886
49.38724,-122.93858
49.38731,-122.93831
49.38738,-122.93804
49.3874,-122.93773
49.38741,-122.93731
49.38727,-122.93718
49.38717,-122.93689
49.387,-122.93678
49.38681,-122.9368
49.38677,-122.9365
49.38685,-122.93624
49.3865,-122.93606
49.38633,-122.93617
49.38616,-122.93612
49.38591,-122.93624
49.38579,-122.93644
49.38566,-122.93666
49.38549,-122.93674
49.38538,-122.93697
49.38529,-122.93726
49.38514,-122.93741
49.38498,-122.93752
49.38496,-122.93779
49.38478,-122.93817
49.38468,-122.93843
49.38454,-122.93862
49.38436,-122.93869
49.38416,-122.9388
49.38402,-122.93876
49.38385,-122.93862
49.38371,-122.93879
49.38361,-122.93902
49.38355,-122.93925
49.38342,-122.93945
49.38332,-122.9397
49.38327,-122.93996
49.38328,-122.94023
49.38331,-122.94052
49.38346,-122.94069
49.38354,-122.94095
49.38352,-122.94123
49.38338,-122.94131
49.38321,-122.94119
49.38301,-122.9412
49.38283,-122.94119
49.38264,-122.94122
49.38253,-122.94143
49.38242,-122.94165
49.38229,-122.9418
49.38217,-122.94161
49.38199,-122.94164
49.38181,-122.94171
49.3817,-122.94183
49.38154,-122.94198
49.38143,-122.94221
49.38131,-122.94236
49.3812,-122.94253
49.38116,-122.94284
49.38106,-122.94307
49.38092,-122.94326
49.38054,-122.94361
49.38047,-122.94388
49.38032,-122.94405
49.38003,-122.944
49.37984,-122.94398
49.37969,-122.94383
49.37952,-122.94371
49.37921,-122.94334
49.37903,-122.94328
49.37888,-122.94343
49.3787,-122.94353
49.37853,-122.94362
49.37835,-122.94372
49.37817,-122.94383
49.37799,-122.94388
49.37789,-122.94412
49.37783,-122.94438
49.37779,-122.94466
49.37768,-122.9449
49.37757,-122.94513
49.37743,-122.9453
49.37728,-122.94547
49.37709,-122.94578
49.37692,-122.94569
49.37674,-122.94574
49.3766,-122.94592
49.37652,-122.94617
49.37644,-122.94643
49.37634,-122.94693
49.37605,-122.94694
49.37556,-122.94742
49.3754,-122.94764
49.37525,-122.94779
49.37511,-122.94804
49.37495,-122.94823
49.37481,-122.94844
49.37468,-122.94862
49.37445,-122.94902
49.37426,-122.9493
49.37409,-122.94943
49.37391,-122.9496
49.3736,-122.94969
49.37338,-122.94983
49.3732,-122.94979
49.37282,-122.94966
49.37266,-122.94954
49.37249,-122.94944
49.37233,-122.94936
49.37209,-122.94925
49.37193,-122.94917
49.37174,-122.94907
49.37156,-122.94906
49.37138,-122.94902
49.3712,-122.94898
49.37101,-122.94901
49.37084,-122.94911
49.37066,-122.94916
49.37047,-122.94916
49.37029,-122.94919
49.37009,-122.9492
49.36991,-122.94933
49.36972,-122.94944
49.36953,-122.94944
49.36935,-122.94945
49.36917,-122.94941
49.36898,-122.94939
49.36871,-122.94938
49.36851,-122.9493
49.36834,-122.94925
49.36815,-122.94923
49.36794,-122.94921
49.36777,-122.94929
49.36762,-122.94922
49.36749,-122.949
49.36739,-122.94878
49.36724,-122.94859
49.36707,-122.94852
49.36696,-122.94828
49.36679,-122.94817
49.36664,-122.94826
49.36674,-122.94796
49.36664,-122.94819
49.36679,-122.9484
