"lats","longs"
49.32819,-122.9503
49.3282,-122.95024
49.32824,-122.94995
49.32824,-122.94988
49.32816,-122.94971
49.32816,-122.94964
49.32816,-122.94956
49.32825,-122.94958
49.32827,-122.94959
49.32832,-122.94961
49.32844,-122.94967
49.32849,-122.94967
49.32857,-122.94965
49.32857,-122.94965
49.32862,-122.94964
49.32872,-122.94966
49.3288,-122.94969
49.32891,-122.94973
49.32896,-122.94976
49.32914,-122.94988
49.32916,-122.94992
49.32937,-122.9498
49.32951,-122.94973
49.32964,-122.94965
49.32976,-122.94955
49.32987,-122.94946
49.32988,-122.94946
49.33001,-122.94969
49.33016,-122.94996
49.33036,-122.95023
49.33051,-122.95035
49.33067,-122.95045
49.33081,-122.95054
49.331,-122.95067
49.33109,-122.95076
49.33109,-122.95077
49.33117,-122.95089
49.33117,-122.95089
49.33121,-122.95091
49.33126,-122.95092
49.33131,-122.9509
49.33135,-122.95086
49.33138,-122.9508
49.3314,-122.95074
49.33143,-122.95068
49.33143,-122.95067
49.33143,-122.95065
49.33146,-122.9506
49.33148,-122.95054
49.33151,-122.95049
49.33156,-122.95045
49.33161,-122.95043
49.33165,-122.95039
49.3317,-122.95037
49.33172,-122.95035
49.33189,-122.95025
49.33204,-122.95016
49.33206,-122.95014
49.33211,-122.95011
49.33215,-122.95008
49.33219,-122.95005
49.33223,-122.95
49.33228,-122.94995
49.33231,-122.9499
49.33233,-122.94984
49.33236,-122.94978
49.3324,-122.94973
49.33245,-122.94972
49.33249,-122.94969
49.33252,-122.94965
49.33255,-122.94959
49.33258,-122.94953
49.33261,-122.94947
49.33264,-122.94942
49.33268,-122.94938
49.33272,-122.94936
49.33277,-122.94935
49.33281,-122.94933
49.33285,-122.9493
49.33289,-122.94923
49.33291,-122.94918
49.33292,-122.94914
49.33293,-122.94907
49.33295,-122.949
49.33297,-122.94894
49.333,-122.94888
49.33302,-122.94882
49.33306,-122.94876
49.33309,-122.94872
49.33313,-122.94867
49.33316,-122.94862
49.33317,-122.94858
49.33317,-122.94858
49.33326,-122.94843
49.33341,-122.94811
49.33357,-122.94775
49.33375,-122.94746
49.33377,-122.94744
49.3338,-122.94738
49.33384,-122.94734
49.33388,-122.94732
49.33393,-122.94732
49.33397,-122.94737
49.33402,-122.94739
49.33406,-122.94738
49.33411,-122.94734
49.33414,-122.94728
49.33414,-122.94721
49.33412,-122.94714
49.33412,-122.94707
49.33412,-122.947
49.33415,-122.94694
49.33419,-122.94691
49.33424,-122.9469
49.33429,-122.94689
49.33434,-122.94689
49.33439,-122.94687
49.33442,-122.9468
49.33443,-122.94673
49.3344,-122.94666
49.33437,-122.94661
49.33433,-122.94657
49.33429,-122.94654
49.33425,-122.94651
49.33422,-122.94645
49.33419,-122.9464
49.33418,-122.9464
49.33414,-122.94632
49.33414,-122.94632
49.33406,-122.94604
49.33402,-122.94574
49.33413,-122.9451
49.33417,-122.94471
49.33414,-122.94446
