"lats","longs"
49.34301,-123.01828
49.34303,-123.01831
49.34314,-123.01822
49.34321,-123.01816
49.34327,-123.0181
49.34344,-123.01802
49.3434,-123.01809
49.34335,-123.01811
49.34332,-123.01809
49.34328,-123.01807
49.34329,-123.01803
49.34327,-123.01798
49.34324,-123.01795
49.34321,-123.01793
49.34318,-123.01787
49.34315,-123.01776
49.34314,-123.01767
49.34314,-123.01763
49.34313,-123.01759
49.34314,-123.01754
49.34315,-123.01749
49.34316,-123.01744
49.34319,-123.01739
49.34315,-123.01736
49.34312,-123.01737
49.34306,-123.01734
49.34299,-123.01728
49.34282,-123.01716
49.34277,-123.01708
49.3427,-123.01697
49.34266,-123.01695
49.34262,-123.01694
49.34259,-123.01696
49.34249,-123.01683
49.34246,-123.01677
49.34243,-123.01676
49.34235,-123.01666
49.34232,-123.01656
49.34222,-123.01652
49.34212,-123.01657
49.34206,-123.01658
49.34203,-123.01658
49.34199,-123.01659
49.34196,-123.01664
49.34193,-123.0167
49.3419,-123.01674
49.3418,-123.01671
49.34163,-123.0166
49.34152,-123.01648
49.34154,-123.0165
49.34158,-123.0165
49.34163,-123.0165
49.34162,-123.01642
49.34158,-123.01638
49.34155,-123.01635
49.34153,-123.01631
49.3415,-123.01625
49.34149,-123.01619
49.34152,-123.01616
49.34156,-123.01616
49.3416,-123.01615
49.34165,-123.01614
49.34167,-123.01605
49.34162,-123.01597
49.34153,-123.0159
49.34155,-123.01605
49.34157,-123.01613
49.34158,-123.01605
49.34156,-123.01602
49.34154,-123.01598
49.34153,-123.01593
49.34152,-123.01587
49.34151,-123.01582
49.34151,-123.01575
49.34151,-123.0157
49.34152,-123.01564
49.34152,-123.01559
49.34153,-123.01551
49.34153,-123.01546
49.34154,-123.01537
49.3416,-123.0154
49.34161,-123.01548
49.34162,-123.01556
49.34165,-123.01563
49.34171,-123.01565
49.34178,-123.01565
49.34182,-123.01565
49.34188,-123.01566
49.34191,-123.01567
49.34195,-123.01569
49.34198,-123.01567
49.34203,-123.01564
49.34208,-123.0156
49.34215,-123.01556
49.34216,-123.01564
49.34219,-123.01561
49.34224,-123.0156
49.34227,-123.01561
49.34232,-123.01563
49.34236,-123.01566
49.3424,-123.01568
49.34245,-123.01573
49.34247,-123.01579
49.34246,-123.01585
49.3425,-123.0158
49.34255,-123.01573
49.34264,-123.01567
49.34272,-123.01556
49.34251,-123.01552
49.34242,-123.01558
49.34243,-123.01553
49.34244,-123.01548
49.34243,-123.01542
49.34243,-123.01532
49.34242,-123.01524
49.34244,-123.01519
49.34247,-123.01517
49.34251,-123.01516
49.34254,-123.01518
49.34258,-123.01521
49.34262,-123.01521
49.34267,-123.01518
49.3427,-123.01513
49.34273,-123.01508
49.34278,-123.01503
49.34282,-123.015
49.34285,-123.01498
49.34288,-123.01494
49.34292,-123.0149
49.34305,-123.01481
49.34309,-123.01483
