"lats","longs"
49.39508,-123.20259
49.39508,-123.20258
49.39508,-123.20258
49.39514,-123.20251
49.39544,-123.20247
49.3956,-123.20243
49.39572,-123.20242
49.39582,-123.2024
49.39594,-123.20249
49.39601,-123.20255
49.39607,-123.2026
49.39615,-123.20267
49.39624,-123.20274
49.39642,-123.20289
49.39689,-123.20308
49.39708,-123.20319
49.39702,-123.20386
49.39702,-123.20386
49.39702,-123.20386
49.39756,-123.204
49.39825,-123.20454
49.39888,-123.20473
49.39926,-123.20483
49.39954,-123.20498
49.39984,-123.20523
49.40005,-123.20558
49.40005,-123.20558
49.40005,-123.20558
49.40033,-123.20577
49.4007,-123.20625
49.40076,-123.2063
49.40069,-123.20564
49.40065,-123.20539
49.40076,-123.2054
49.40088,-123.20551
49.40124,-123.20564
49.40155,-123.20541
49.40173,-123.20522
49.40187,-123.2051
49.402,-123.20503
49.40212,-123.20487
49.40214,-123.20466
49.40208,-123.20422
49.40208,-123.20422
49.40208,-123.20422
49.4022,-123.20418
49.40229,-123.20419
49.40244,-123.2043
49.40265,-123.20458
49.40288,-123.20486
49.40321,-123.20507
49.40363,-123.2058
49.40397,-123.20643
49.4042,-123.20694
49.40435,-123.20712
49.40447,-123.20719
49.40456,-123.20721
49.40484,-123.20728
49.405,-123.20737
49.40507,-123.20751
49.40516,-123.20767
49.40535,-123.20776
49.40571,-123.20791
49.40586,-123.20792
49.406,-123.20805
49.40613,-123.20805
49.40631,-123.20815
49.40649,-123.20825
49.40662,-123.20834
49.4067,-123.20851
49.40678,-123.20858
49.40697,-123.2088
49.40697,-123.2088
49.40697,-123.2088
49.40709,-123.20889
49.40715,-123.20897
49.40722,-123.20901
49.40733,-123.20903
49.4074,-123.20891
49.40746,-123.20872
49.40751,-123.20859
49.40756,-123.20844
49.40761,-123.20833
49.4077,-123.20815
49.40779,-123.20807
49.40793,-123.20789
49.40816,-123.20761
49.40835,-123.20751
49.4085,-123.20752
49.40874,-123.20747
49.40891,-123.20736
49.4091,-123.20719
49.40924,-123.20709
49.40938,-123.20704
49.40952,-123.20705
49.40992,-123.20687
49.41014,-123.20683
49.41047,-123.20657
49.41068,-123.20655
49.4108,-123.20656
49.41088,-123.20648
49.41085,-123.20633
49.41086,-123.20623
49.41092,-123.20615
49.411,-123.20619
49.41109,-123.20622
49.41117,-123.20623
49.41126,-123.2062
49.41134,-123.2061
49.41143,-123.2061
49.41155,-123.20607
49.41166,-123.20588
49.41187,-123.20583
49.41201,-123.20565
49.41216,-123.20543
49.4123,-123.20525
49.41239,-123.20514
49.41246,-123.20507
49.41261,-123.20506
49.4127,-123.20496
49.4128,-123.20495
49.41288,-123.20486
49.41295,-123.20483
49.41302,-123.20485
49.41309,-123.20483
49.4132,-123.20477
49.41324,-123.20473
49.41327,-123.20467
49.41331,-123.20454
49.41345,-123.2042
49.41359,-123.20405
49.41365,-123.204
49.4137,-123.20399
49.41376,-123.20399
49.41385,-123.20399
49.4139,-123.20388
49.4139,-123.20388
49.4139,-123.20388
49.41431,-123.20358
49.41449,-123.20335
49.41471,-123.20329
49.4149,-123.20338
49.41513,-123.20346
49.41529,-123.20365
49.41538,-123.20403
49.41548,-123.20446
49.41554,-123.20477
49.41564,-123.20506
49.41571,-123.20548
49.41569,-123.20602
49.41566,-123.20647
49.41568,-123.2068
49.41565,-123.20709
49.41561,-123.20728
49.4156,-123.2076
49.41574,-123.20764
49.41587,-123.20753
49.41603,-123.20725
49.41618,-123.20699
49.41632,-123.20677
49.41648,-123.20636
49.41659,-123.20627
49.41649,-123.2073
49.41681,-123.20689
49.41691,-123.20692
49.41692,-123.20715
49.4169,-123.2073
49.41685,-123.20776
49.41681,-123.20813
49.41681,-123.20831
49.41689,-123.20844
49.41699,-123.20844
49.41709,-123.20844
49.41721,-123.20831
49.41728,-123.20808
49.41732,-123.20792
49.41744,-123.2077
49.41756,-123.20741
49.41771,-123.20723
49.41798,-123.20718
49.41817,-123.20686
49.4184,-123.20678
49.41858,-123.20666
49.41876,-123.20645
49.41894,-123.20635
49.41912,-123.20625
49.41929,-123.20617
49.41948,-123.20608
49.4197,-123.20609
49.41996,-123.20605
49.42014,-123.20596
49.42035,-123.20589
49.42068,-123.20577
49.42096,-123.20576
49.42118,-123.20569
49.42142,-123.20562
49.42173,-123.20567
49.42196,-123.20574
49.42216,-123.20585
49.42225,-123.20599
49.42238,-123.20612
49.42245,-123.20609
49.42247,-123.20596
49.42247,-123.20583
49.42247,-123.20569
49.42248,-123.20546
49.42257,-123.20536
49.42261,-123.20541
49.42266,-123.20557
49.42274,-123.20575
49.42286,-123.20583
49.42293,-123.20606
49.42304,-123.20628
49.42318,-123.20648
49.4233,-123.20659
49.42339,-123.20667
49.4234,-123.20652
49.42345,-123.2064
49.42339,-123.20625
49.42338,-123.20605
49.42342,-123.20592
49.42348,-123.20586
49.42358,-123.20584
49.42364,-123.20576
49.42371,-123.2057
49.42377,-123.20583
49.42381,-123.20592
49.42389,-123.20587
49.42395,-123.20578
49.42403,-123.20581
49.42407,-123.20592
49.42412,-123.20605
49.42428,-123.20609
49.4244,-123.20607
49.42457,-123.206
49.42468,-123.20593
49.42483,-123.20589
49.42498,-123.20587
49.42521,-123.2058
49.42549,-123.2059
49.42572,-123.20587
49.42597,-123.2057
49.4262,-123.20578
49.42649,-123.20589
49.42674,-123.20614
49.42702,-123.20632
49.42727,-123.20636
49.42746,-123.20647
49.42764,-123.20659
49.42787,-123.20683
49.42802,-123.20693
49.42829,-123.20695
49.4284,-123.20686
49.42855,-123.20686
49.42875,-123.20678
49.42882,-123.20691
49.42882,-123.20715
49.42882,-123.20715
49.42882,-123.20715
49.42876,-123.20713
49.42866,-123.20725
49.42859,-123.20741
49.42849,-123.20759
49.42839,-123.20768
49.42839,-123.20768
49.42849,-123.20759
49.42859,-123.20741
49.42866,-123.20725
49.42876,-123.20713
49.42882,-123.20715
49.42882,-123.20715
49.42882,-123.20715
49.42882,-123.20691
49.42875,-123.20678
49.42855,-123.20686
49.4284,-123.20686
49.42829,-123.20695
49.42802,-123.20693
49.42787,-123.20683
49.42764,-123.20659
49.42746,-123.20647
49.42727,-123.20636
49.42702,-123.20632
49.42674,-123.20614
49.42649,-123.20589
49.4262,-123.20578
49.42597,-123.2057
49.42572,-123.20587
49.42549,-123.2059
49.42521,-123.2058
49.42498,-123.20587
49.42483,-123.20589
49.42468,-123.20593
49.42457,-123.206
49.4244,-123.20607
49.42428,-123.20609
49.42412,-123.20605
49.42407,-123.20592
49.42403,-123.20581
49.42395,-123.20578
49.42389,-123.20587
49.42381,-123.20592
49.42377,-123.20583
49.42371,-123.2057
49.42364,-123.20576
49.42358,-123.20584
49.42348,-123.20586
49.42342,-123.20592
49.42338,-123.20605
49.42339,-123.20625
49.42345,-123.2064
49.4234,-123.20652
49.42339,-123.20667
49.4233,-123.20659
49.42318,-123.20648
49.42304,-123.20628
49.42293,-123.20606
49.42286,-123.20583
49.42274,-123.20575
49.42266,-123.20557
49.42261,-123.20541
49.42257,-123.20536
49.42248,-123.20546
49.42247,-123.20569
49.42247,-123.20583
49.42247,-123.20596
49.42245,-123.20609
49.42238,-123.20612
49.42225,-123.20599
49.42216,-123.20585
49.42196,-123.20574
49.42173,-123.20567
49.42142,-123.20562
49.42118,-123.20569
49.42096,-123.20576
49.42068,-123.20577
49.42035,-123.20589
49.42014,-123.20596
49.41996,-123.20605
49.4197,-123.20609
49.41948,-123.20608
49.41929,-123.20617
49.41912,-123.20625
49.41894,-123.20635
49.41876,-123.20645
49.41858,-123.20666
49.4184,-123.20678
49.41817,-123.20686
49.41798,-123.20718
49.41771,-123.20723
49.41756,-123.20741
49.41744,-123.2077
49.41732,-123.20792
49.41728,-123.20808
49.41721,-123.20831
49.41709,-123.20844
49.41699,-123.20844
49.41689,-123.20844
49.41681,-123.20831
49.41681,-123.20813
49.41685,-123.20776
49.4169,-123.2073
49.41692,-123.20715
49.41691,-123.20692
49.41681,-123.20689
49.41649,-123.2073
49.41659,-123.20627
49.41648,-123.20636
49.41632,-123.20677
49.41618,-123.20699
49.41603,-123.20725
49.41587,-123.20753
49.41574,-123.20764
49.4156,-123.2076
49.41561,-123.20728
49.41565,-123.20709
49.41568,-123.2068
49.41566,-123.20647
49.41569,-123.20602
49.41571,-123.20548
49.41564,-123.20506
49.41554,-123.20477
49.41548,-123.20446
49.41538,-123.20403
49.41529,-123.20365
49.41513,-123.20346
49.4149,-123.20338
49.41471,-123.20329
49.41449,-123.20335
49.41431,-123.20358
49.4139,-123.20388
49.4139,-123.20388
49.4139,-123.20388
49.41385,-123.20399
49.41376,-123.20399
49.4137,-123.20399
49.41365,-123.204
49.41359,-123.20405
49.41345,-123.2042
49.41331,-123.20454
49.41327,-123.20467
49.41324,-123.20473
49.4132,-123.20477
49.41309,-123.20483
49.41302,-123.20485
49.41295,-123.20483
49.41288,-123.20486
49.4128,-123.20495
49.4127,-123.20496
49.41261,-123.20506
49.41246,-123.20507
49.41239,-123.20514
49.4123,-123.20525
49.41216,-123.20543
49.41201,-123.20565
49.41187,-123.20583
49.41166,-123.20588
49.41155,-123.20607
49.41143,-123.2061
49.41134,-123.2061
49.41126,-123.2062
49.41117,-123.20623
49.41109,-123.20622
49.411,-123.20619
49.41092,-123.20615
49.41086,-123.20623
49.41085,-123.20633
49.41088,-123.20648
49.4108,-123.20656
49.41068,-123.20655
49.41047,-123.20657
49.41014,-123.20683
49.40992,-123.20687
49.40952,-123.20705
49.40938,-123.20704
49.40924,-123.20709
49.4091,-123.20719
49.40891,-123.20736
49.40874,-123.20747
49.4085,-123.20752
49.40835,-123.20751
49.40816,-123.20761
49.40793,-123.20789
49.40779,-123.20807
49.4077,-123.20815
49.40761,-123.20833
49.40756,-123.20844
49.40751,-123.20859
49.40746,-123.20872
49.4074,-123.20891
49.40733,-123.20903
49.40722,-123.20901
49.40715,-123.20897
49.40709,-123.20889
49.40697,-123.2088
49.40697,-123.2088
49.40697,-123.2088
49.40678,-123.20858
49.4067,-123.20851
49.40662,-123.20834
49.40649,-123.20825
49.40631,-123.20815
49.40613,-123.20805
49.406,-123.20805
49.40586,-123.20792
49.40571,-123.20791
49.40535,-123.20776
49.40516,-123.20767
49.40507,-123.20751
49.405,-123.20737
49.40484,-123.20728
49.40456,-123.20721
49.40447,-123.20719
49.40435,-123.20712
49.4042,-123.20694
49.40397,-123.20643
49.40363,-123.2058
49.40321,-123.20507
49.40288,-123.20486
49.40265,-123.20458
49.40244,-123.2043
49.40229,-123.20419
49.4022,-123.20418
49.40208,-123.20422
49.40208,-123.20422
49.40208,-123.20422
49.40214,-123.20466
49.40212,-123.20487
49.402,-123.20503
49.40187,-123.2051
49.40173,-123.20522
49.40155,-123.20541
49.40124,-123.20564
49.40088,-123.20551
49.40076,-123.2054
49.40065,-123.20539
49.40069,-123.20564
49.40076,-123.2063
49.4007,-123.20625
49.40033,-123.20577
49.40005,-123.20558
49.40005,-123.20558
49.40005,-123.20558
49.39984,-123.20523
49.39954,-123.20498
49.39926,-123.20483
49.39888,-123.20473
49.39825,-123.20454
49.39756,-123.204
49.39702,-123.20386
49.39702,-123.20386
49.39702,-123.20386
49.39708,-123.20319
49.39689,-123.20308
49.39642,-123.20289
49.39624,-123.20274
49.39615,-123.20267
49.39607,-123.2026
49.39601,-123.20255
49.39594,-123.20249
49.39582,-123.2024
49.39572,-123.20242
49.3956,-123.20243
49.39544,-123.20247
49.39514,-123.20251
49.39508,-123.20258
49.39508,-123.20258
49.39508,-123.20259
