"lats","longs"
49.36745,-122.94898
49.36752,-122.94897
49.36753,-122.94916
49.36768,-122.94917
49.36779,-122.94907
49.36808,-122.94902
49.36821,-122.94904
49.36837,-122.94901
49.36841,-122.94919
49.36851,-122.94923
49.36865,-122.9491
49.36877,-122.94935
49.36934,-122.94936
49.36975,-122.94928
49.36994,-122.94911
49.37037,-122.94918
49.37084,-122.94888
49.37144,-122.94899
49.3716,-122.94898
49.37172,-122.94907
49.37185,-122.94908
49.37212,-122.9492
49.37223,-122.94932
49.37234,-122.94936
49.37247,-122.94948
49.37258,-122.94943
49.37278,-122.94957
49.37308,-122.94987
49.37323,-122.94979
49.37341,-122.94975
49.37352,-122.94965
49.37372,-122.94962
49.3739,-122.94947
49.37412,-122.94933
49.37425,-122.94929
49.37443,-122.94909
49.37447,-122.9489
49.3746,-122.94862
49.37466,-122.94841
49.37476,-122.94834
49.37485,-122.94817
49.37508,-122.94793
49.37513,-122.94777
49.37535,-122.94742
49.3755,-122.94735
49.37561,-122.94727
49.37568,-122.94717
49.37592,-122.94701
49.37603,-122.94698
49.37619,-122.94673
49.37626,-122.94649
49.37634,-122.9464
49.37642,-122.94624
49.37646,-122.94581
49.37633,-122.94578
49.37638,-122.94565
49.37671,-122.94537
49.37692,-122.94516
49.37717,-122.94484
49.3774,-122.94463
49.37769,-122.94423
49.37774,-122.94411
49.37793,-122.94385
49.37849,-122.94357
49.37872,-122.94342
49.37896,-122.94318
49.37924,-122.94309
49.37951,-122.94292
49.3796,-122.94272
49.37984,-122.94257
49.37981,-122.94247
49.38035,-122.94209
49.38042,-122.94199
49.38062,-122.94179
49.38074,-122.94172
49.38094,-122.94154
49.38108,-122.94149
49.3812,-122.94153
49.3813,-122.9416
49.38143,-122.94164
49.38168,-122.9416
49.3818,-122.94151
49.38206,-122.94155
49.38219,-122.94163
49.3823,-122.94166
49.3824,-122.94157
49.3826,-122.94131
49.38274,-122.94118
49.38287,-122.94112
49.38295,-122.94096
49.38311,-122.94076
49.38302,-122.94064
49.38304,-122.94043
49.38303,-122.94023
49.38306,-122.94006
49.38308,-122.93983
49.38312,-122.9397
49.38326,-122.93966
49.38333,-122.9395
49.38345,-122.93946
49.38353,-122.93938
49.38359,-122.93921
49.38358,-122.93903
49.38366,-122.93873
49.38391,-122.93872
49.38416,-122.9388
49.3844,-122.93869
49.38461,-122.93854
49.38469,-122.93845
49.38474,-122.93831
49.38503,-122.93803
49.3851,-122.93769
49.38528,-122.93751
49.38531,-122.93736
49.38548,-122.93718
49.38558,-122.93713
49.38561,-122.93692
49.38574,-122.93661
49.38577,-122.93644
49.38587,-122.93638
49.38594,-122.93626
49.38602,-122.93616
49.38614,-122.9362
49.38639,-122.9361
49.38659,-122.93597
49.38667,-122.93629
49.38681,-122.93627
49.38686,-122.93644
49.38694,-122.93652
49.38689,-122.93666
49.38697,-122.93679
49.387,-122.93696
49.38698,-122.93713
49.38728,-122.93735
49.3873,-122.93753
49.38734,-122.93768
49.38726,-122.93803
49.38728,-122.93888
49.38732,-122.93903
49.38728,-122.93925
49.38715,-122.93949
49.38692,-122.93982
49.38689,-122.93999
49.38692,-122.94037
49.38686,-122.94051
49.38694,-122.94061
49.38717,-122.9407
49.38702,-122.94089
49.38707,-122.94106
49.3872,-122.9411
49.38723,-122.94108
49.3872,-122.94107
49.38726,-122.94124
49.38734,-122.94131
49.38715,-122.94153
49.3872,-122.94167
49.38732,-122.9417
49.38742,-122.94164
49.3875,-122.94149
49.38761,-122.94138
49.38778,-122.94156
49.38783,-122.9417
49.38792,-122.9418
49.38802,-122.94209
49.38811,-122.94219
49.38822,-122.94225
49.38842,-122.94264
49.38888,-122.94305
49.38895,-122.94316
49.38911,-122.94332
49.38918,-122.94344
49.38935,-122.94362
49.38967,-122.94386
49.38977,-122.94397
49.38988,-122.94394
49.38998,-122.94405
49.39009,-122.94411
49.39021,-122.94401
49.39027,-122.94386
49.39034,-122.94377
49.39042,-122.94363
49.39025,-122.94385
49.39028,-122.94405
49.39037,-122.94414
49.39033,-122.94429
49.3904,-122.94441
49.39068,-122.94418
49.39081,-122.94395
49.3909,-122.94384
49.39106,-122.94386
49.39124,-122.94367
49.39149,-122.94373
49.3916,-122.94377
49.3917,-122.94373
49.3919,-122.94386
49.39199,-122.94395
49.39211,-122.94397
49.39222,-122.94405
49.39234,-122.94439
49.39241,-122.94451
49.39279,-122.94456
49.39291,-122.94455
49.393,-122.94463
49.39309,-122.94476
49.39318,-122.94469
49.3932,-122.94449
49.39328,-122.94463
49.3932,-122.94473
49.39307,-122.94475
49.39296,-122.94472
49.39274,-122.9446
49.39245,-122.94459
49.39235,-122.94451
49.39219,-122.94422
49.39207,-122.94415
49.39198,-122.94421
49.39196,-122.94399
49.39186,-122.94392
49.39178,-122.9438
49.39164,-122.94385
49.39153,-122.94381
49.39148,-122.94366
49.39138,-122.94372
49.39126,-122.94367
49.39114,-122.94381
49.39076,-122.94396
49.39059,-122.94423
49.3905,-122.94428
49.39046,-122.94446
49.39036,-122.94434
49.39033,-122.94418
49.39024,-122.94409
49.39016,-122.94417
49.3899,-122.94404
49.38978,-122.94402
49.38971,-122.94392
49.38958,-122.94391
49.38926,-122.9435
49.38915,-122.94341
49.38909,-122.94328
49.38893,-122.94326
49.38883,-122.94318
49.38877,-122.943
49.38864,-122.94292
49.38849,-122.94271
49.38839,-122.94262
49.38824,-122.94236
49.38802,-122.94225
49.38786,-122.94206
49.38773,-122.942
49.38761,-122.94198
49.38752,-122.94191
49.38748,-122.94177
49.38736,-122.9417
49.38721,-122.94167
49.38708,-122.94171
49.38699,-122.9416
49.38688,-122.94156
49.38666,-122.94155
49.38677,-122.941
49.38692,-122.94054
49.38695,-122.94036
49.38694,-122.93994
49.38706,-122.93969
49.38717,-122.9396
49.38721,-122.93944
49.38734,-122.93918
49.38729,-122.93898
49.38731,-122.93828
49.38729,-122.9381
49.38731,-122.93789
49.38738,-122.93771
49.38737,-122.93752
49.3873,-122.93739
49.38703,-122.93716
49.387,-122.93698
49.38694,-122.93682
49.38692,-122.93665
49.3868,-122.93662
49.38683,-122.93646
49.38678,-122.93627
49.38666,-122.93624
49.3866,-122.9361
49.38651,-122.936
49.38627,-122.93612
49.3862,-122.93621
49.38612,-122.93611
49.38601,-122.93617
49.3859,-122.93628
49.3856,-122.93683
49.38559,-122.93702
49.38542,-122.93726
49.3853,-122.93735
49.38529,-122.93756
49.38517,-122.93765
49.3851,-122.93775
49.38503,-122.93809
49.38493,-122.93819
49.38481,-122.93827
49.38466,-122.93853
49.38456,-122.93862
49.38441,-122.93867
49.38419,-122.93882
49.38392,-122.93872
49.38375,-122.93869
49.38365,-122.9388
49.38359,-122.93919
49.38354,-122.93937
49.38348,-122.9395
49.38333,-122.9395
49.38317,-122.93954
49.38307,-122.94007
49.38302,-122.94052
49.38306,-122.94072
49.38297,-122.94109
49.38274,-122.9412
49.38265,-122.94129
49.38254,-122.94135
49.38235,-122.94162
49.38213,-122.94154
49.38197,-122.94155
49.38185,-122.94153
49.38175,-122.94163
49.38143,-122.94163
49.3813,-122.9416
49.3812,-122.94154
49.38107,-122.94151
49.38096,-122.94155
49.3809,-122.94167
49.38077,-122.94175
49.38063,-122.9418
49.38057,-122.94189
49.38039,-122.94207
49.3803,-122.94219
49.38019,-122.94228
49.37996,-122.94238
49.37968,-122.94271
49.37961,-122.94283
49.37941,-122.94302
49.37919,-122.94311
49.37897,-122.94328
49.37886,-122.94334
49.37879,-122.94347
49.37865,-122.94354
49.3785,-122.94358
49.37839,-122.94365
49.37826,-122.94367
49.37812,-122.94375
49.37797,-122.94378
49.37782,-122.94396
49.37774,-122.94413
49.37767,-122.94423
49.3776,-122.94437
49.37731,-122.94474
49.37703,-122.94504
49.37686,-122.94527
49.37675,-122.94533
49.37664,-122.94546
49.37607,-122.9459
49.37561,-122.94621
49.37534,-122.94627
49.37493,-122.94643
49.37476,-122.94646
49.37452,-122.94637
49.37437,-122.94633
49.37383,-122.94563
49.37376,-122.9455
49.37365,-122.94546
49.37349,-122.94549
49.37336,-122.9454
49.37329,-122.94527
49.37322,-122.94518
49.37307,-122.94508
49.37294,-122.94513
49.37278,-122.94537
49.37272,-122.94559
49.37262,-122.9462
49.37251,-122.94634
49.37228,-122.94659
49.37206,-122.94678
49.37194,-122.94681
49.37185,-122.94673
49.37173,-122.94669
49.37134,-122.94684
49.37117,-122.94705
49.37108,-122.94722
49.37099,-122.94732
49.37064,-122.94781
49.37043,-122.94795
49.37021,-122.94833
49.36992,-122.94871
49.36981,-122.94881
49.36964,-122.94887
49.36934,-122.94893
49.36924,-122.94898
49.36909,-122.94898
49.36874,-122.94911
49.36857,-122.94914
49.36802,-122.94907
49.36757,-122.94907
49.36745,-122.94898
