"lats","longs"
49.32519,-122.88477
49.32519,-122.88479
49.32515,-122.88473
49.32508,-122.88469
49.32505,-122.8846
49.32499,-122.88456
49.32501,-122.88456
49.32499,-122.88446
49.32495,-122.8842
49.32493,-122.88403
49.32495,-122.88393
49.32503,-122.88388
49.32516,-122.88382
49.32513,-122.88365
49.32499,-122.88352
49.32483,-122.88336
49.32469,-122.88317
49.32465,-122.8826
49.32459,-122.88223
49.32462,-122.88205
49.32462,-122.88205
49.32465,-122.88184
49.32463,-122.88154
49.32476,-122.88148
49.32464,-122.8803
49.32499,-122.87967
49.32493,-122.87926
49.32527,-122.87931
49.3257,-122.87906
49.32586,-122.87896
49.32628,-122.879
49.32627,-122.87864
49.32649,-122.87881
49.32667,-122.87867
49.32676,-122.87818
49.32676,-122.87818
49.3268,-122.87796
49.32727,-122.87787
49.32745,-122.87768
49.32714,-122.87738
49.32721,-122.87676
49.32719,-122.87646
49.32733,-122.87643
49.32715,-122.87603
49.32687,-122.87603
49.3265,-122.87571
49.32622,-122.87529
49.32595,-122.87527
49.32592,-122.87518
49.32575,-122.87508
49.32591,-122.87506
49.3259,-122.87504
49.32594,-122.87499
49.32594,-122.87491
49.32593,-122.87476
49.32593,-122.87469
49.32596,-122.87464
49.32597,-122.87463
49.32597,-122.87464
49.32606,-122.87459
49.32622,-122.87457
49.32641,-122.87451
49.32659,-122.8745
49.32691,-122.87456
49.32723,-122.87454
49.32736,-122.87448
49.32744,-122.87439
49.32754,-122.87433
49.32768,-122.87432
49.32799,-122.87437
49.32811,-122.87442
49.32811,-122.87442
49.32846,-122.87456
49.32896,-122.87471
49.3293,-122.87491
49.32978,-122.87508
49.33005,-122.87511
49.33061,-122.87512
49.33061,-122.87512
49.33063,-122.87512
49.331,-122.87522
49.33134,-122.87523
49.33145,-122.8752
49.33157,-122.87513
49.33184,-122.87503
49.33207,-122.87497
49.33231,-122.87497
49.3325,-122.87493
49.33287,-122.87494
49.33325,-122.87502
49.33362,-122.87497
49.33388,-122.87497
49.33409,-122.87505
49.33448,-122.87525
49.33481,-122.87532
49.33503,-122.87531
49.33509,-122.8753
49.33509,-122.8753
49.3353,-122.87525
49.33542,-122.87519
49.33553,-122.87508
49.33562,-122.87495
49.33567,-122.87479
49.33575,-122.87445
49.33586,-122.8742
49.336,-122.87401
49.33591,-122.87383
49.33587,-122.87379
49.33578,-122.87376
49.33563,-122.8738
49.3351,-122.87372
49.33494,-122.87375
49.33482,-122.87375
49.33472,-122.8737
49.33466,-122.87359
49.33456,-122.87329
49.3345,-122.87321
49.33402,-122.87302
49.33397,-122.87302
49.33397,-122.87302
49.33385,-122.87302
49.33378,-122.87305
49.33366,-122.87317
49.3336,-122.87315
49.33345,-122.87306
49.33302,-122.87294
49.33261,-122.8729
49.3325,-122.87295
