"lats","longs"
49.39586,-123.20387
49.39587,-123.20387
49.39588,-123.20412
49.39631,-123.20325
49.39631,-123.20325
49.39633,-123.2033
49.39639,-123.2034
49.39644,-123.20349
49.39653,-123.20358
49.39661,-123.20363
49.39676,-123.20365
49.39677,-123.20385
49.39681,-123.20392
49.39688,-123.204
49.3969,-123.20417
49.39703,-123.20427
49.39717,-123.20423
49.39741,-123.20435
49.39741,-123.20435
49.39746,-123.20437
49.39749,-123.20438
49.39752,-123.20438
49.39755,-123.20444
49.39758,-123.20446
49.3976,-123.20451
49.39762,-123.20454
49.39767,-123.20456
49.39768,-123.20459
49.39775,-123.20467
49.39785,-123.20471
49.39788,-123.20474
49.39802,-123.20474
49.39825,-123.20454
49.39825,-123.20454
49.39888,-123.20473
49.39926,-123.20483
49.39954,-123.20498
49.39984,-123.20523
49.40005,-123.20558
49.40033,-123.20577
49.4007,-123.20625
49.40076,-123.2063
49.40069,-123.20564
49.40065,-123.20539
49.40076,-123.2054
49.40088,-123.20551
49.40124,-123.20564
49.40155,-123.20541
49.40173,-123.20522
49.40187,-123.2051
49.402,-123.20503
49.40212,-123.20487
49.40214,-123.20466
49.40208,-123.20422
49.4022,-123.20418
49.40229,-123.20419
49.40244,-123.2043
49.40265,-123.20458
49.40288,-123.20486
49.40321,-123.20507
49.40321,-123.20507
49.40363,-123.2058
49.40397,-123.20643
49.4042,-123.20694
49.40435,-123.20712
49.40447,-123.20719
49.40456,-123.20721
49.40484,-123.20728
49.405,-123.20737
49.40507,-123.20751
49.40516,-123.20767
49.40535,-123.20776
49.40571,-123.20791
49.40586,-123.20792
49.406,-123.20805
49.40613,-123.20805
49.40631,-123.20815
49.40649,-123.20825
49.40662,-123.20834
49.4067,-123.20851
49.40678,-123.20858
49.40697,-123.2088
49.40709,-123.20889
49.40715,-123.20897
49.40722,-123.20901
49.40733,-123.20903
49.4074,-123.20891
49.40746,-123.20872
49.40751,-123.20859
49.40756,-123.20844
49.40761,-123.20833
49.4077,-123.20815
49.40779,-123.20807
49.40793,-123.20789
49.40816,-123.20761
49.40835,-123.20751
49.4085,-123.20752
49.40874,-123.20747
49.40891,-123.20736
49.4091,-123.20719
49.40924,-123.20709
49.40938,-123.20704
49.40952,-123.20705
49.40992,-123.20687
49.41014,-123.20683
49.41047,-123.20657
49.41068,-123.20655
49.4108,-123.20656
49.41088,-123.20648
49.41085,-123.20633
49.41086,-123.20623
49.41092,-123.20615
49.411,-123.20619
49.41109,-123.20622
49.41117,-123.20623
49.41126,-123.2062
49.41134,-123.2061
49.41143,-123.2061
49.41155,-123.20607
49.41166,-123.20588
49.41187,-123.20583
49.41201,-123.20565
49.41216,-123.20543
49.4123,-123.20525
49.41239,-123.20514
49.41246,-123.20507
49.41261,-123.20506
49.4127,-123.20496
49.4128,-123.20495
49.41288,-123.20486
49.41295,-123.20483
49.41302,-123.20485
49.41309,-123.20483
49.4132,-123.20477
49.41324,-123.20473
49.41327,-123.20467
49.41331,-123.20454
49.41345,-123.2042
49.41359,-123.20405
49.41365,-123.204
49.4137,-123.20399
49.41376,-123.20399
49.41385,-123.20399
49.4139,-123.20388
49.4139,-123.20388
49.41365,-123.20273
49.41343,-123.20188
49.41331,-123.20066
49.41343,-123.19987
49.41355,-123.19907
49.41357,-123.19862
49.4135,-123.19787
49.41314,-123.19701
49.41266,-123.19605
49.41233,-123.19495
49.41214,-123.19448
49.41199,-123.19364
49.41224,-123.19349
49.41262,-123.19321
49.41302,-123.19325
49.41315,-123.19314
49.41315,-123.19314
49.41302,-123.19325
49.41262,-123.19321
49.41224,-123.19349
49.41199,-123.19364
49.41185,-123.19373
49.41151,-123.19404
49.41145,-123.19417
49.41113,-123.19484
49.41087,-123.19538
49.41087,-123.19538
49.4108,-123.19553
49.41051,-123.19536
49.41023,-123.19543
49.40985,-123.19564
49.40985,-123.19564
49.40979,-123.19568
49.40957,-123.19566
49.40947,-123.19585
49.40887,-123.19572
49.40849,-123.19556
49.40803,-123.19556
49.40759,-123.19535
49.40719,-123.19496
49.40669,-123.19527
49.40656,-123.1954
49.40623,-123.19512
49.40591,-123.1947
49.40567,-123.19446
49.40572,-123.19424
49.40572,-123.19405
49.40581,-123.19362
49.40584,-123.19338
49.40576,-123.19318
49.40553,-123.19296
49.40517,-123.19275
49.40471,-123.19218
49.40461,-123.19222
49.40442,-123.19189
49.40447,-123.1917
49.40447,-123.19109
49.40429,-123.19104
49.40416,-123.19102
49.40401,-123.1909
49.40401,-123.1909
49.40406,-123.19082
49.40415,-123.19053
49.40424,-123.19017
49.40426,-123.19
49.40422,-123.18967
49.40414,-123.18942
49.40408,-123.18921
49.40401,-123.1888
49.40392,-123.18861
49.40368,-123.18848
49.4035,-123.18843
49.40336,-123.18847
49.40323,-123.18866
49.4031,-123.18897
49.40299,-123.18913
49.40285,-123.18925
49.40268,-123.18935
49.40246,-123.18939
49.4022,-123.18948
49.40186,-123.18951
49.40147,-123.1895
49.40108,-123.18958
49.40068,-123.1899
49.4003,-123.19025
49.40008,-123.19051
49.39962,-123.19131
49.39929,-123.19187
49.39918,-123.19215
49.39888,-123.19289
49.3984,-123.19381
49.39821,-123.19425
49.3981,-123.19498
49.39803,-123.19573
49.39796,-123.19623
49.39792,-123.1964
49.39777,-123.19682
49.39765,-123.19748
49.39749,-123.19789
49.39722,-123.1983
49.39722,-123.1983
49.39707,-123.19846
49.39686,-123.19869
49.39688,-123.19987
49.39675,-123.20102
49.39664,-123.20132
49.39664,-123.20132
49.39615,-123.20267
49.39624,-123.20274
49.39642,-123.20289
49.39637,-123.20306
49.39637,-123.20306
49.39631,-123.20325
49.39588,-123.20412
