"lats","longs"
49.35729,-123.08266
49.35735,-123.08265
49.35744,-123.08264
49.35744,-123.08257
49.35744,-123.0825
49.35744,-123.08241
49.35744,-123.08232
49.35744,-123.08225
49.35744,-123.08219
49.35742,-123.08212
49.35739,-123.08208
49.35736,-123.08202
49.35731,-123.0818
49.35721,-123.08161
49.3571,-123.08138
49.35708,-123.0812
49.35718,-123.0811
49.35731,-123.08098
49.35743,-123.08099
49.3574,-123.08095
49.35722,-123.081
49.35709,-123.08112
49.35702,-123.08135
49.35703,-123.08109
49.35714,-123.08096
49.35721,-123.08091
49.35724,-123.08088
49.35727,-123.08084
49.3573,-123.08079
49.35732,-123.08074
49.35734,-123.08069
49.35735,-123.08063
49.35744,-123.08042
49.35748,-123.08042
49.35752,-123.08039
49.35758,-123.08034
49.35759,-123.08027
49.35764,-123.08025
49.35769,-123.08022
49.35774,-123.08019
49.35778,-123.08015
49.3578,-123.0801
49.35782,-123.08006
49.35785,-123.08002
49.35788,-123.08001
49.35792,-123.07999
49.35795,-123.07997
49.35798,-123.07993
49.35797,-123.07986
49.35801,-123.07981
49.35807,-123.07994
49.3581,-123.07995
49.35814,-123.07996
49.35817,-123.07999
49.35819,-123.07995
49.35821,-123.07992
49.35825,-123.07992
49.35831,-123.07995
49.35832,-123.07986
49.35839,-123.07987
49.35834,-123.07979
49.35838,-123.07967
49.35843,-123.07963
49.35847,-123.07958
49.35851,-123.07955
49.35854,-123.0795
49.35859,-123.07945
49.35864,-123.07942
49.35868,-123.0794
49.35874,-123.07939
49.35878,-123.07937
49.35883,-123.07934
49.35887,-123.0793
49.3589,-123.07926
49.35894,-123.07925
49.35897,-123.07924
49.35901,-123.0792
49.35904,-123.07917
49.35908,-123.07914
49.35911,-123.07909
49.35914,-123.07905
49.35916,-123.07899
49.35919,-123.07891
49.35915,-123.07897
49.35917,-123.07907
49.35919,-123.07923
49.35927,-123.0794
49.35936,-123.07962
49.35922,-123.07918
49.35921,-123.07914
49.35919,-123.07911
49.35922,-123.07911
49.35924,-123.07913
49.35928,-123.07914
49.35931,-123.07916
49.35934,-123.07918
49.35937,-123.0792
49.35941,-123.07922
49.35945,-123.07921
49.3595,-123.07925
49.35952,-123.07931
49.35954,-123.07937
49.35958,-123.07943
49.35963,-123.07942
49.35968,-123.07939
49.35972,-123.07934
49.35976,-123.07933
49.3598,-123.07931
49.35984,-123.07928
49.35989,-123.07929
49.35997,-123.07933
49.36008,-123.07938
49.36014,-123.07929
49.36019,-123.07924
49.36023,-123.07921
49.36028,-123.07919
49.36034,-123.07919
49.3604,-123.07917
49.36045,-123.07916
49.3605,-123.07916
49.36055,-123.07914
49.3606,-123.07916
49.36065,-123.07918
49.3607,-123.07919
49.36075,-123.07919
49.36079,-123.07919
49.36084,-123.07919
49.36089,-123.07917
49.36094,-123.07914
49.36095,-123.07905
49.36101,-123.07902
49.36104,-123.0791
49.36104,-123.07919
49.36101,-123.07928
49.36099,-123.07935
49.36095,-123.07935
49.36088,-123.07924
49.36095,-123.07912
49.36105,-123.07906
49.36109,-123.07922
49.361,-123.07925
49.36107,-123.0793
49.36113,-123.07936
49.36121,-123.0794
49.36127,-123.07934
49.36129,-123.07926
49.36132,-123.07919
49.36138,-123.0792
49.36144,-123.07925
49.36149,-123.07918
49.36156,-123.07915
49.36163,-123.07917
49.36169,-123.0791
49.36176,-123.07908
49.36183,-123.07909
49.3619,-123.07912
49.36195,-123.07919
49.36201,-123.07919
49.36208,-123.07921
49.36214,-123.0792
49.36219,-123.07927
49.36225,-123.0793
49.36231,-123.07923
49.36236,-123.07921
49.3624,-123.07924
49.36244,-123.07923
49.36249,-123.0792
49.36253,-123.07915
49.3626,-123.07913
49.36265,-123.07911
49.36271,-123.0791
49.36275,-123.07915
49.36279,-123.07919
49.36285,-123.07916
49.3629,-123.07919
49.36295,-123.07924
49.363,-123.07928
49.36307,-123.07925
49.36311,-123.07919
49.36316,-123.07916
49.36323,-123.07911
49.36326,-123.07905
49.36322,-123.07906
49.36304,-123.07911
49.36294,-123.07915
49.36289,-123.07923
49.36295,-123.07921
49.363,-123.07918
49.36305,-123.07917
49.3631,-123.07913
49.36314,-123.07913
49.36319,-123.07911
49.36323,-123.07909
49.36327,-123.07907
49.3633,-123.07906
49.36334,-123.07907
49.36338,-123.07904
49.3634,-123.07908
49.36344,-123.07911
49.36351,-123.07913
49.3635,-123.07907
49.36349,-123.07918
49.36349,-123.0793
49.36362,-123.07925
49.36367,-123.07925
