"lats","longs"
49.32377,-122.88586
49.32365,-122.88541
49.32369,-122.88551
49.32374,-122.88556
49.32377,-122.88563
49.32379,-122.88571
49.3238,-122.88578
49.32382,-122.88587
49.32385,-122.88596
49.32387,-122.88609
49.32385,-122.88616
49.32387,-122.88624
49.32381,-122.88635
49.32379,-122.88643
49.32375,-122.8865
49.3237,-122.88645
49.32371,-122.88638
49.32378,-122.88636
49.32382,-122.88639
49.32388,-122.88637
49.32396,-122.88634
49.32403,-122.88633
49.32411,-122.88628
49.32416,-122.88627
49.32424,-122.88623
49.3243,-122.88621
49.32438,-122.88627
49.32443,-122.8863
49.32452,-122.88634
49.32456,-122.88636
49.32461,-122.88642
49.32472,-122.88644
49.32478,-122.88644
49.32483,-122.88645
49.32488,-122.88644
49.32493,-122.88648
49.32496,-122.88657
49.325,-122.88664
49.32504,-122.88668
49.32509,-122.88669
49.32499,-122.88667
49.32494,-122.88671
49.32492,-122.88678
49.32493,-122.88666
49.32499,-122.88674
49.32505,-122.88684
49.32509,-122.88688
49.32518,-122.88693
49.32523,-122.88698
49.32527,-122.88704
49.32529,-122.88713
49.3253,-122.88719
49.32528,-122.88727
49.32528,-122.88736
49.32529,-122.88744
49.32529,-122.88752
49.32527,-122.88759
49.32525,-122.88765
49.32524,-122.88773
49.3252,-122.88778
49.32512,-122.88785
49.32511,-122.88792
49.3251,-122.88799
49.32503,-122.88809
49.32499,-122.88813
49.32492,-122.88822
49.32489,-122.88829
49.32487,-122.88841
49.32487,-122.88857
49.32486,-122.88865
49.32485,-122.88874
49.32487,-122.8888
49.32487,-122.88889
49.32484,-122.88899
49.32483,-122.88907
49.32485,-122.88915
49.32488,-122.8892
49.32489,-122.88928
49.32492,-122.8894
49.32492,-122.88948
49.32494,-122.88955
49.32498,-122.88966
49.32501,-122.88973
49.32505,-122.88976
49.3251,-122.8898
49.32515,-122.88991
49.32516,-122.88999
49.32517,-122.89006
49.3252,-122.89012
49.32524,-122.89017
49.32526,-122.89023
49.32529,-122.89029
49.32532,-122.89042
49.32532,-122.8905
49.32535,-122.89057
49.32539,-122.89063
49.32541,-122.89071
